stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.24,0,0,0,0,0,0,0,0,0
  5-6,33.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.72,0,0,0,0,0,12.11,0,0,0,0,0,0,0,0,0,24.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.96,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0,3.47,0,0,0,0,0,0,0,8.46,0,0,0,0,0
 24-34,0,0,0,0,0,1.74,0,0,0,1.87,0,0,0,0,0,0,0,0,0.68,0,0.59,243.98,0,12.1,2.91,0,0,0.76,0,0,0.64,68.99,0,0,0,0,0
 36-46,0,0,2.01,0,0,5.33,0,0,0,9.02,0,0,1.47,0,0,0,0,0,0.76,0,1.22,572.78,0,38.08,0,0,0,5.34,0.81,0,0,83.65,0,0,0,0,0
 48-58,1.29,0,0.9,0,0,62.3,0,0,0.69,62.31,0,0,0,0,0,0,0.4,0,5.17,0,0.51,869.17,0,27.69,2.86,0,0,1.1,0,0,0,100.41,0,0.74,0,0,4.48
 60-70,0,0,3.24,0.63,0,125.66,0,0,1.54,138.46,0,0,0,0,0,0,0,0,7.72,8.71,0,1344.89,0.83,25.59,3.8,0,0,5,0,1.12,0,174.01,0,0,0,0,0
 72-82,0,1.16,4.33,2.6,0,272.62,0,3.72,2.6,184.93,0.68,0,0.66,0,0,0,0,0,20.21,0,5.89,1418.79,0,56.68,8.75,0,0,0.6,0,0,0,135.17,4.74,0,2.91,0.53,0.63
 84-94,0,0,3.85,1.3,0,209.09,0,0,2.71,88.89,0,0,0,0.98,0.58,0,0,0,16.56,2.14,0.77,1077.14,2.33,32.88,7.43,0,4.96,3.03,0,1.44,0,88.59,0.9,0,0.97,1.02,0
 96-106,0,0,2.56,0,0,245.36,0,0,0,120.9,0.97,0,0,1.18,0,0,5.24,0,12.24,0,0,1031.79,0,76.34,17.5,0,4.36,10.36,0,0,0,59.03,1.89,0.87,5.31,1.64,10.54
108-118,0,0.59,21.27,2.23,1.29,253.71,0,0.45,0,124.7,1.04,0,0,0,0,5.25,0,1.73,21.05,0,0.63,1235.56,0,49.32,9.59,0,0.76,1.03,0,0,0,59.42,7.43,0,0.65,3.82,0
120,0,0,22.74,0,0,296.9,1.18,0,0,140.63,0,0,0,0,0,0,3.76,0,16.89,0,5.35,2380.4,3.89,52.91,12.16,0,0,10.33,0,0,0,63.41,0,0,17.24,3.21,0
