stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,gut,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm,periderm,somites,vasculature
  3-4,11.08,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.59,0,0,0,0,0,0,0,0,0,0,7.54,0,0
  7-9,0,6.64,0,7.24,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,15.35,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.95,0.84,0
 24-34,0,0,0,0,0,0,0,0,1.93,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,2.06,0,0
 60-70,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.84,0,0,0.54,0.6,0,0,0,0,0.58,0,0
 84-94,0,0,0,0,0,0.56,1.09,0,0,0,0,8.25,0,0
 96-106,0,0,0,0,0,0,0,0.8,0,0,0,24.68,0,0
108-118,0,0,0,0,0,0,1.28,0,0,1.43,0,9.64,0,0.62
120,0,0,0,0,1.11,2,0,0,0,0,0,17.7,0,0
