stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.02,667.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0,0,0,0,0,0,0,0,0
  5-6,45.29,520.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.47,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0
  7-9,4.25,7.86,21.52,0,0,97.16,0,0,0,0,0,29.94,0,0,0,0,0,0,0,0,0,0,555.86,17.85,0,0,175.34,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,45.01,41.75,0,0,39.16,0,0,0,0,0,11.91,0,0,0,0,0,0,0,0,0,0,1175.17,9.28,0,0,308.05,0,7.72,0,0,50.32,0,0,0,0,0,0,0
 14-21,0,0,6.83,44.51,7.04,23.41,0,0,0,8.45,1.09,0.81,0,0,0,0,0,0,0,31.9,0,22.28,449.06,9.49,1.1,2.94,5.17,0,10.34,0,46.33,0,27.78,104.81,0,0,1.58,0,0
 24-34,0,0,0,15.95,3.08,61.91,0,0,0,10.63,1.01,3.22,0,0,0,0,0.7,2.08,0.67,57.27,0,15.01,594.3,0,7.68,7.21,0,0,12.38,0,0,0,3.14,100.82,0,0,7.56,0,2.4
 36-46,0,0,0,8.94,0,106.23,0,0,0,11.88,0,0,0,0,0,2.54,1.2,1.21,0,43.86,0,6.36,354.47,2.01,1.2,0.61,0,0,2.42,0,0,2.02,0,67.66,0,0,0.56,0,7.87
 48-58,0,0,0,5.71,5.2,130.8,0.43,0.47,0.4,20.89,0,0,1.22,0,0,8.11,0.41,0.39,0,33.04,0,7.48,274.56,0.66,0.4,6.33,0,0,6.19,0.56,0,0,0,54.49,0,0,5.89,0,5.32
 60-70,0,0,0,7.65,0.66,85.99,0,6.31,0.86,29.19,1.6,0,0.7,0,0,0,2.87,0,0,44.08,0.76,1.66,155.18,0,0,0,0,0,0,0,0,0,0,30.18,0,0,4.29,0,0.96
 72-82,0,0,0,7.9,0.76,51.29,0,0,1.87,17.7,0,0,0,6.23,0,8.11,0.79,0,0.49,36.41,0.98,3.79,126.59,0,4.26,1.63,0,0,0,0,0,0,0,10.34,0,0.5,1.97,0,0
 84-94,0,0,0,9.74,0.83,61.79,0.57,2.44,0,16.04,1.23,0,0,2.4,0,3.14,0,0,3.35,23.71,0,9.24,138.93,1.05,3.55,1.23,0,0,1.58,0,0,0.56,0,5.38,0.83,0.56,2.53,2.25,0
 96-106,0,0,0,2.58,0,34.08,0,0,0,14.03,6.25,0,0,2.54,0,1.05,0,0,0,25.04,0.68,6.82,99.99,0,0,3.47,0,0,8.66,0,0,0,0,10.05,0,0,2.97,0,3.05
108-118,0,0,0,9.75,2.03,56.5,0,0,1.19,26.32,6.03,0,0,2.3,0.75,1.12,0,0,0.51,48.27,0.46,5.62,137.44,0,1.57,1.81,0,0.76,6.87,0,0,0,0,0.45,0,0,4.2,0,0.74
120,0,0,0,9.15,3.09,44.46,0,1.05,0,62.72,1.31,0,0,5.8,0,15.88,0,0,0,37.13,0,13.5,142.75,1.1,0,0,0,0,5.4,0,0,0,0,3.6,0,0,12.44,9.56,0
