stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,8.98,0,0,11.21,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.05,39.57,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,32.32,0,0.96,0,0,0,1.01,0,0,0,0.86,0,0,48.41,0.98,1.49,2.1,0,0,0,0,0
 24-34,0,0.65,106.28,0,2.73,0,0.6,0,0,0,1.69,4.07,0,0,1.29,0,0,156.34,4.82,1.13,0,0,0,34.27,0.6,0,1.65,0,0,3.67,326.62,0,0,4.42,0,0,0,0,0
 36-46,0,0.98,17.33,0,0,0,7.41,0,0,0,1.22,24.3,0,0,0,0,0,291.17,5.18,1.41,0,0,1.36,51.38,0,0,6.21,0,0,1.16,148.1,0,0,3.54,0,0,1.83,0,0
 48-58,0,0,3.85,0,1.27,0,11.85,0,0,0,3.48,32.27,0,0,0,0,0,375.14,0,1.77,0,0,0.73,78.33,0,0.59,0,0,0,0.94,75.67,0,0,8.59,0,0,0,0,0
 60-70,0,0.82,0,0,0,0,24.62,0.79,0.9,0,6.45,30.16,0,0.73,0,1.92,0,387,0,4.46,1.09,0,0,69.27,0,0,0.62,0,0,0,66.01,0,0,1.64,0,0,0,0,0
 72-82,0,0,1.19,13.68,9.12,27.34,49.92,0,0.78,0,4.96,31.13,0,1.88,0.61,0,0,752.83,0,12.29,0,0,0,137.74,1.32,0.56,0.79,0,0,11.92,69.03,0,0,11.1,0,0,6.7,0.59,0
 84-94,0,2.22,2.07,8.07,6.83,40.72,38.37,0,0,0,4.04,53.31,0,4.88,0,0,0,2614.37,2.21,5.33,0,0,1.43,134.89,0.91,2.48,0,0,0,7.49,114.78,0,0,4.84,3,0,3.71,0,0
 96-106,0,1.07,2.63,19.83,60.77,18.64,199.33,3.05,1.25,7,33.28,37.57,4.54,2.6,3.6,0,2.89,3874.53,0,55.19,0.83,8.16,4.55,570.46,0,6.49,2.58,0,1.05,38.14,133.81,3.79,0,0,4.72,0,15.18,0.91,1.22
108-118,0,0,0.84,12.33,16.43,13.87,98.81,0.5,4.35,2.69,55.76,10.1,0,7.91,0.79,0.43,2.01,6338.21,5.63,74.62,0,2.34,6.32,416.88,4.72,4.58,2.37,0,1.32,24.22,137.05,0,0,3.86,1.13,0.5,10.03,0.79,2.86
120,0,1.37,0,10.84,6.44,1.03,53.46,0,1.06,0,16.83,1.14,0,0,0,8.35,0,2816.64,0,43.72,0,0,1.28,312.05,3.31,0,2.87,0,0,2.24,66.54,0,0,15.41,0,4.4,26.42,2.01,0
