stage,axial,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.07,0,0,0,19.59,0,0,0,0,0,7.77,0,0,0,0
 14-21,0,0.81,5.72,0,2,0,0,0,1.28,1.09,0,0,0,0.91,20.95,44.12,2437.67,0,0,0.87,0,0,3.99,0,898.83,192.26,1.93,0,0,0
 24-34,0,0.65,0,0,0,4.58,0,0,0,0,0,0,0,0.76,16.18,58.4,159.61,0,0.77,0,0,8.65,0,0,274.08,121.93,3.63,12.43,0,0
 36-46,0,0,0.58,0,2.66,21.39,0,0,0,0,0,0,0,0.64,4.83,27.75,74.62,0,0,0,0,0.64,0,0,41.19,1.76,4.02,0.56,0,0
 48-58,0,0,0,0,2.16,13.88,0,0,0.66,0,0,0,0,0,6.14,36.74,54.88,0.44,0,0,0,0.44,0,0,14.26,0,6.46,0,0,2.47
 60-70,0,0,0,0,0.72,14.25,0,0,5.56,0,8.01,0,0,3.34,0,22.88,33.62,0,0,0.81,0,0,0,0.76,20.99,0,0.87,0.72,0,0
 72-82,0,0,0,0,13.04,16.14,0,0,1.39,0,1.63,0,0,0,4.16,29.67,10.55,0,0,0,3.03,0,0,0,10.16,0,0,1.72,0,0
 84-94,0,0,0,4.47,2.45,12.38,2.16,0,1.82,0,0,0,0,3.43,0.77,8.33,32.63,0.69,0,0,0,0,0,0,6.92,0,0,0,0,0
 96-106,0,0,8.03,0,9.14,34.12,0,1.88,3.74,0,4.17,0,4.06,12.91,11.12,27.21,28.51,0,0,0,0,2.72,0,0,18.78,0,0,1.63,1.84,0
108-118,0,0,4.21,0,19.05,39.89,0,0,2.31,0,5.42,0.48,5.4,5.25,6.81,15.79,27.57,0,0,0,0,0,0,0,8.74,0,0,4.06,0,0
120,2.23,0,0,1.28,13.47,64.24,0,0,0,0,4.91,0,0,6.37,21.55,90.09,57.57,3.8,0,0,0,0,0,0,11.52,0,0,10.03,0,0
