stage,eye,glial,mesenchyme,muscle,neural,spinal.cord
 48-58,0,4.75,0,0,1.66,0.7
 60-70,0,1.33,0,0.6,3.46,0
 72-82,0.97,1.28,0.9,0,0,0
108-118,0,0,0,0,3.67,0
120,0,0,0,0,1.53,0
