stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,43.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.95,0,0,0,0,0,0,0,0,0
  5-6,0,60.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526.13,0,0,0,0,0,0,0,0,0
  7-9,38.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.36,17.87,0,0,6.25,28.08,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.21,0,0,0,16.51,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.68,0.83,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,6.75,0,0,0,0,25.2,2.15,0,1.73,1.85,0,0,0,0,0
 24-34,0,0,0,2.11,0,0,6.98,0,0,1.24,0,5.49,0.6,0,0,2.69,0,0,0,13.6,0,0,0.65,0,27.85,0,0,0,0.7,0,0,1.04,0,0
 36-46,0,0,0,2.81,0,0,29.15,0,0,0,0,3.49,0,0,0,1.5,0,1.26,0.73,35.68,0,2.51,0,0,46.98,0,0,0,1.15,0,0,11.21,0,0
 48-58,0,0,0,3.91,0,0,19.08,0,0,0,0.38,7.86,0,0,0,2.9,0,0,0,27.11,0,1.04,0,0,33.86,0,0,0,4.84,0,0,4.72,0,0
 60-70,0,0,0,0.7,0,0,15.44,1.24,0.71,3.07,0,11.35,0,1.02,0,8.07,0,0,0,14.01,0,2.3,0,0,26.18,0,0,0,19.25,0,0,2.22,0,0
 72-82,0,0,0,1.06,0,0,20.89,0,0,1.5,0,16.08,0,0,0,6.2,0,0.7,0.56,38.04,0,1.77,0,0,36.9,0,0,0,5.51,1.69,0,3.5,0,0
 84-94,0,0,0,2.14,0,0,11.38,0.84,0,1.06,0,30.52,0,0,0,5.18,0,0,0,21.97,0,5.26,0,0,51.99,0,0.9,0,3.78,0,0,0,3.28,0.61
 96-106,0,0,0,6.38,0,0,8.27,0.72,0,1.38,0.59,30.5,2.79,0,0.6,9.09,1.13,0,0,7.69,0,1.48,0,0,73.39,0,0,0,0,0,0,0.59,0,0
108-118,0,0,0,10.88,0.66,1.44,6.11,1.63,0,0.78,0,23.85,0,0,2.63,5.83,1.45,0.63,0,36.19,0,2.99,0,0,46.2,0,0,0,0,0.44,1.16,2.28,1.04,0
120,0,0,0,9.04,0,1.78,39.1,1.13,0,12.78,1.42,45.08,0,0,0,23.36,0,0,0,50.1,0,0,0,0,41.85,0,0,0,0,0,0,0,0,0
