stage,epidermis,glial,hatching.gland,immune,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,pronephros,spinal.cord
  7-9,0,0,6.27,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.66,4.97,0
 14-21,1.22,3.25,0,0,0,3.74,0.98,0,0,2.84,6.58
 24-34,0,1.77,0,0,0,3.22,0,0,0,0,3.8
 36-46,0,1.53,0,0,0,1.37,0,0,0,0,0
 48-58,0,0,0,0,0.44,5.21,0,0,0,0,0.95
 60-70,0,0.98,0,0,0,3.8,0,0,0,0,0
 72-82,0,0,0,1.32,0,0,0,1.09,0,0,0
 84-94,0,0,0,0.64,0,2.73,0,0,0,0,0
 96-106,0,0,0,9.54,0,0,0,0,0,0,0
108-118,0,0,0,3.91,0,2.66,0,0.86,0,0,0
120,0,0,0,10.2,0,1.72,0,0,0,0,0
