stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.15,0,0,0,13.44,0,0,6.2,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.72,26.2,0,0,8.78,0,0,0,0,13,0,0,0,0,0,0,0
 14-21,0,4.88,377.1,7.84,0,0,0,0,0,0,4.88,0,0,0.96,0,6.85,91.99,0,0,45.29,63.8,24.29,0,0,0.99,0,0,0,4.71,0.87,3.99,15.75,0,0,158.11,0,6.21
 24-34,0,11.72,32.77,8.23,0,0.92,15.57,2.77,0,0,38.59,0,0,5.46,0.65,32.47,556.11,1.03,0,167.31,251.18,65.67,0,0,0,1.14,3.24,0,0,0,13.64,26.4,0,0,644.49,0,90.82
 36-46,0,10,9.56,23.55,7.11,19,41.77,29.23,0,7.42,22.77,0,0,9.98,16.36,46.77,728.68,0,2.03,185.2,222.81,89.29,0,0,0,0,0,0,0,0,0,59.79,0,0,550.13,0.78,128.37
 48-58,1.54,8.93,1.17,46.77,0.67,15.22,51.54,89.1,0,1.29,28.48,0.67,0,22.56,0,39.19,891.9,0.6,19.09,91.05,321.5,92.6,0,0,0,0,20.69,0,0,0,0,57.83,0,1.76,426.98,0,168.3
 60-70,0.81,14.31,10.02,46.99,0,5.48,45.46,183,2.28,2.38,41.34,2.38,0,17.21,0,20.76,1227.26,1.14,26,73.41,316.12,38.58,4.53,0,0,5.29,4.3,0,0,1.72,0,45.72,0,14.07,431.22,5.93,243.13
 72-82,0,6.84,0.68,78.3,1.84,2.16,53.5,248.14,0.81,0.6,38.27,2.16,0.61,10.31,1.92,4.6,1376.35,0,48.06,75.73,242.12,19.29,0,0.99,0,7.62,8.47,0,0,0,0,9.7,0,19.23,801.11,34.15,214.01
 84-94,0,11.41,6.73,108.48,0,3.67,42.29,151.08,2.66,0,27.37,0.7,0,15.73,0,50.07,1240.17,0.89,46.45,39.96,192.74,38.06,0,3.85,0,5.29,17.62,0,0,2.8,0,14.17,0,38.52,706.41,33.42,143.58
 96-106,0,18.45,9.95,44.49,1.64,0,27.97,185.4,1.35,0,52.99,1.65,0,15.14,14.37,17.74,984.08,2.19,34.69,41.43,221.14,34.14,2.5,0.61,0,32.56,29.54,0,0,2.11,0,13.95,0.85,31.82,810.66,27.33,181.92
108-118,0.45,18.53,7.37,43.21,0.52,4.17,34.81,261.75,5.76,0,25.28,4.52,2.07,52,1.21,65.28,1091.75,0.51,38.13,51.6,196.42,24.04,0,0,0,27.47,10.49,0,0,2.99,0,8.07,1.42,14.18,708.01,33.76,187.23
120,0,62.84,4.31,24.05,6.51,0,44.85,390.5,10.1,5.2,23.74,10.87,0,54.31,2.92,22.49,907.88,0,22.55,59.44,367.55,106.81,25.64,0,0,36.29,4.03,0,0,1.83,0,26.25,0,27.95,945.98,15.47,52.36
