stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,54.76,0,0,0,0,0,0,0,0,0
 10-12,0,13.56,0,12.15,0,0,0,0,0,0,0,0,0,0,0,433.2,0,0,33.77,0,0,0,0,0,0
 14-21,0,0,81.22,0,0.88,0,0,0,0,0,0,0,0,0,0,5.67,0,0,0,0,1.51,0,0,0,0
 24-34,0,0,48.36,1.15,9.2,1.92,0,2.87,0,0,0,0,0,13.36,3.16,26.22,1.48,0,0,0,0,0,0,7.42,2.64
 36-46,0,0,27.69,0.62,14.85,1.43,1.48,0,0,0,0,0.66,0,18.23,5.41,45.77,0,2.67,0,0,0,1.31,0,1.33,0
 48-58,0,0,21.64,0.88,5.82,0.81,6.14,0,0,0,0,0,0,35.26,2.23,26.42,1.17,0.82,0,0,0,2.28,0,0,0
 60-70,0,0,6.94,0.75,3.18,0,46.12,0,0,0,0,0,0,54.69,0,5.92,0,0,0,0,0,2.7,0,0,0
 72-82,0,0,2.25,2.47,0,0.78,51.4,0,0,0,0,0,0,56.63,0.51,6.88,6.42,1.99,0,0.89,0.49,0,0,0.63,0
 84-94,0,0,5.48,1.91,4.27,2.23,33.78,0,0,0.62,0,0,8.68,60.14,0,9.56,0,0.62,0,0,0,0.96,0,0,0
 96-106,0,0,5.35,1.56,1.67,0.77,45.96,0,0.8,1.72,0.66,0,0,59.35,0.72,4.02,0,0.59,0,0,0,0,0,0.82,0
108-118,0,0,3.29,1.26,6.03,1.38,70.12,0,0,2.32,0,0,0,47.73,3.5,16.39,3,0.48,0,0,0,0,1.8,0,3.89
120,0,0,1.23,11.92,0,0,64.69,0,0,4.78,0,0,0,28.22,3.67,4.66,0,0,0,0,0,0,0,0,0
