stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,0,3.28,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0
 14-21,0,0,7.6,3.53,0,0,0,1.12,0,0,0,0,0,0,0,0,15.64,1.54,0,0,0,0.85,0.95,0,0,0
 24-34,0,0,11.77,7.35,0.93,0,0,0,0,0,0,0,0.75,0,0,0,18.91,0,0,0,0,1.25,1.34,0,0,0
 36-46,0,0,14.87,1.25,0,0,1.09,1.48,0,0,0,0,4.15,0,0.86,7.81,21.77,0,0,0,0,0,0,0,0,1.58
 48-58,0,0,5.87,6.06,0.99,1,0,0.9,0,0,0,0,13.58,0,4.29,0,28.36,0,0,0,0,0,0.4,0,0,5.83
 60-70,0,0,8.29,73.46,0,0.76,0,2.48,0,0,0,0,35.65,0,7.81,1.13,38.85,0,0,0,0,0,0.83,4.12,0.91,0
 72-82,0,0,1.88,51.53,0,0.49,0.77,1.71,0.72,0,0,0,73.82,0,6.99,4.45,52.95,0,0,9.95,0,0,0,10.75,4.13,0
 84-94,0,0,6.96,44.39,0.56,0.62,0,1.36,0.6,1.23,0.55,0,71.23,0,6.33,1.55,52.58,0,0,5.29,0,0,0,20.71,6.88,0
 96-106,0,0,9.96,101.95,0,0,0,2.07,0,0,0,0,101.25,0,5.9,0.56,53.87,0,0,6.13,0,0,0,24.1,18.65,0
108-118,0,0,9.12,49.32,0,1.61,0,11.23,0.43,0,0,0,119.95,2.33,14.93,0,77.11,0,0,13.82,0,0,0,20.94,15.03,19.8
120,0,0,12.09,149.48,0,2.26,0,16,4.33,0,0,5.51,81.74,0,6.7,2,97.62,0,0,0,0,0,5.94,4.91,9.34,0
