stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.26,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.13,114.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0,5.28,0,0,0,0,0,0,0,0,0
 10-12,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.85,0,0,0,0,0,0,15.27,0,0,0,0
 14-21,0,0,0,9.14,93.85,1141.89,0,0,0.84,0.99,0,49.72,0.84,28.76,0,162.53,19.36,0,2.37,885.6,0.84,0,5.42,3.46,0,9.41,548.25,0,194.09,0,101.18
 24-34,0,0.83,0,15.73,17.24,891.37,0,0,4.55,0,0,104.14,0,142.78,0,89.8,16,0,0.8,177.34,0,0,7.33,0,0,1.28,77.16,0,616.94,0,189.12
 36-46,0,0,0,0,0,172.05,0,0,2.87,0,0,101.42,0,184.97,0,0.66,2.65,0,0.84,48.16,0,0,3.97,0,0.75,0,14.52,0,152.76,0,82.76
 48-58,0,0,0,0.89,4.62,129.85,0,0.44,1.03,0,0.63,87.82,0.39,280.52,0,0.78,4.23,0.45,0,44.97,0,0,0,0,0,0,5.44,0.37,54.31,0,67.84
 60-70,0,0,0,0,0,81.66,0,0,16.41,0,0,143.18,0,314.01,0,0,2.82,0,0.81,42.19,0,0,0,0,0,0,0,0,53.71,0,21.84
 72-82,0,0,0,0.97,0,85.77,0,0.87,1.46,0,0,101.85,0,316.58,2.13,0,5.09,0,0.94,35.18,0,0,0,0,0,0,0,1.82,89.73,0,8.01
 84-94,0,0,0,0,0,120.17,0,0,0,0,0,142.55,0,403.01,0,9.11,4.37,0,0,51.34,1.34,0,2.6,0,0,0,0,0,55.63,0,22.2
 96-106,0,0,0,0,0.96,110.81,1.25,0,4.75,0,0,127.54,0,305.25,0,0.68,6.89,2.84,0,27.39,0.6,0,1.97,0,0.82,0,0,1.26,112.1,1.3,6.7
108-118,0,0,0,1.52,10.61,94.79,0,0,2.68,0,0,100.32,0,497.93,1.26,1.54,0,0,1.03,31.95,0,0,0.63,0,0,0,0,0.77,80.45,0,7.88
120,0,0,0,0,0,28.43,0,0,0,5.2,0,155.32,0,316.99,8.33,0,21.99,0,0,15.99,0,0,0,0,0,0,0,0,46.22,0,2.33
