stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,206.69,2977.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,592.47,34734.89,0,0,0,0,0,0,0,0,0,105.26,0,0,23.5,239.86,0,0,0,0,0,0,0,0
  7-9,45.74,1297.56,81.95,0,1614.46,0,4.51,0,0,0,0,41956.75,86.83,0,5081.06,42.87,4.77,0,0,0,0,0,0,0
 10-12,0,363.91,111.68,0,35.59,0,8.79,14.93,0,0,0,22538.96,47.55,0,8651.57,3.07,0,0,25.06,0,0,22.29,0,0
 14-21,0,0,0,19.36,6.56,6.39,2.12,0,0,2.06,5.42,4450.39,3.48,0,44.69,0,0,7.79,1.92,0.88,7.28,1979.31,1.63,0
 24-34,0,0,0,2.39,12.7,2.74,0,0,3.43,7.95,2.23,2912.78,0,0,0,0.94,0,0.97,0,1.47,1.12,563.45,3.75,0.62
 36-46,0,0,0,0,4.58,24.29,0,0,0,25.29,0,931.24,0,1.02,0,0,0,0,0,0,0,350.97,0,0
 48-58,0,0,0,2.58,10.43,73.55,0,0,0,5.2,0.66,170.51,0,0,0,0,0,0,0,0,0,154.29,0,0
 60-70,0,0,0,0,0,109.86,0,0,0,0,0,18.71,0,0,0,0,0,0,0,0,0,30.57,0,0
 72-82,0,0,0,0,8.76,98.85,0,0,0,0,0,10.43,0,0,0,0,0,0,0,0,0,1.77,0,0
 84-94,0,0,0,0,6.88,56.68,0,0,0,0,0,20.96,0,0,0,0,0,0,0,0,0,10.29,0,0
 96-106,0,0,0,0,0,55.17,0,0,0,0,0,23.25,0,0,0,0,0,0,0,0,0,0.6,0,0
108-118,0,0,0,0,0,105.87,0,0,0,0,0,10.86,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,11.01,66.57,0,0,0,0,0,36.4,0,0,0,0,0,0,0,0,0,0,0,0
