stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,gut,liver,mesenchyme,mucous,neural,notochord,olfactory,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,15.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,36.88,9.08,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,87.45,0,0,3.3,0,0,0,0,0
 14-21,0,3.16,0.89,0,0,0,0,0,0,3.03,0,0,0,0,1.1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.62,0,0,1.08,0,0.74,0,7.87,0
 36-46,0,0,0,0,0,0,0,0,0,7.28,0,0,1.19,0,0,0,0,0
 60-70,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1,0,2.03,0.82,0,0,0,0,0,0.73,0,0,0,1.22,0
 84-94,0,0.63,0,0,0,6.5,0.59,0,0,0.63,0,1.35,0,0,0,0,0,0
 96-106,0,0,0,15.84,3.06,18.05,0,1.12,1.92,6.16,0,1.38,0,0.7,0,0,0,0
108-118,0,1.23,0,20.58,0.68,25.29,1.37,1.3,0,11.81,0,1.47,5.97,0,0,0.43,4.42,1.25
120,0,0,0,13.95,0,14.6,0,0,0,3.78,0,1.12,0,0,0,3.57,15.04,0
