stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,410.24,6138.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.01,0,0,0,0,0,0
  5-6,372.68,5660.59,10.71,0,0,0,0,0,0,0,26.83,0,0,0,0,369.05,10.41,0,32.44,159.82,0,0,0,0,0,0
  7-9,93.44,81.84,163.06,0,0,302.89,0,0,0,0,87.27,0,0,0,0,1999.27,148.52,0,846.71,7.71,19.71,0,0,0,0,0
 10-12,0,22.92,97.9,0,10.05,78.58,0,0,0,0,0,0,0,0,0,970.6,21.44,0,340.34,0,22.1,0,49.74,0,0,0
 14-21,0,0,0,13.75,0.9,2.14,0,0,0,2.41,0,0.93,0.85,6.69,3.01,40.76,0,1.19,1.65,0,0,5.55,0,6.1,15.56,0
 24-34,0,0,0.67,0,0,0.64,0,0,0,0,0.67,0.96,0,2.61,0,6.59,0,2.85,0,6.07,0,0,0,0,0,0.63
 36-46,0,0,0,0.9,0,0,0,1.84,0,0,0,5.06,0,0.66,0,4.77,0,0,0,6.79,0,0,0.56,0,0.59,0
 48-58,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,1.55,0,0,0,3.47,0,0,0.96,0,1.42,0
 60-70,0,0,0,0,0,3.62,0,0,0.79,0,0,0,0,0,0,2.85,0,0,0,2.16,0,0,5.4,0,0,0
 72-82,0,0,0,0,0,1.01,0,0,0,0,0,0,0,1.11,0,5.55,0,0,0,0,0,0,9.55,0,0,0
 84-94,0,0,0,0,0,0.69,0,0,0,0,0,2.33,0,0,0,7.19,0,0,0,0.55,0,0,30.97,0,0,0
 96-106,0,0,0,0.6,0,0,0.59,0,0,0,0,1.75,0,2.35,0,0,0,0,0,0,0,0,5.34,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,2,0,0,0,0,0,0,22.02,0,7.13,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0
