stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.58,0.91,644.09,0,0,0,2.9,0,0,0,25.65,0,0,392.72,2.94,0,0,0,171.5,0.89,0,0,0.86,0.83,4.11,0,3.83,1.87,70,0,0,0,366.14
 24-34,0.6,6.15,0,899.21,0,0,0,1.45,1.08,0,0,61.2,0,0,576.71,7.95,0,0,0.63,250.82,0.95,4.44,0.81,0,10.04,0,1.39,0,1.61,37.67,0,0,11.33,692.43
 36-46,0,0,0,369.2,0,0,0,16.2,0,0,0,103.99,0,0,128.83,4.63,0,0,0,133.76,0,0,0,0,6.77,0,2.15,0,0,14.58,0,0,0,411.69
 48-58,0,0,0,413.61,0,0.82,3.74,2.06,0,0.71,0,145.45,0,0,86.6,6.47,0,0,0,73.15,0,0,0.46,0,2.84,0,0,0,0,17.43,0,0,0.59,388.02
 60-70,0,0,0,515.32,0,0.65,0,3.69,0,0,0,232.72,0,0,51.92,6.86,1.02,0,0.77,53.3,0,0,0,0,0,0,0,0,0,15.64,0,0,0,255.92
 72-82,0,0.49,0.64,869.64,0,0,5.4,15.77,0.53,0,0.61,243.98,0,0,73.29,15.57,0,0,0,34,0,0,1.06,0,3.29,0,0.55,0,0,4.32,0,0.52,0.71,294.2
 84-94,0,2.55,2.82,958.28,0,0,0,13.04,0.73,1.52,4.12,323.76,0,0.96,262.43,18.93,0,0.89,0,49.29,0,0,1,0,10.81,0,0,0,0,1.37,0,0,0,362.12
 96-106,0,4.46,2.77,1159.68,2.05,0,0,35.66,0,0,1.75,436.42,0,1.4,69.14,8.37,0,1.82,0.76,85.91,2.55,0.89,1.18,0,8.63,0,2.18,0,0,0,0,0,1.51,411.74
108-118,0,7.64,3.35,1308.16,0,0,0,68.84,0.8,0,0,926.88,2.64,0.43,157.61,24.32,0,1.6,2.22,104.68,0,1.44,0,0,14.55,0,0,0,0,0,1.74,0.85,0,912.99
120,0,2.96,2.36,650.46,0,0,0,56,5.6,0,0,543.79,0,0,104.07,14,12.14,0,0,48.38,0,2.92,0,0,0,0,0,0,0,0,0,0,0,373.67
