stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,259.44,7197.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1942.91,0,0,0,0,0,0,0,0,0
  5-6,299.59,3656.56,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,52.5,0,0,0,19.47,0,1834.16,0,0,0,0,0,0,0,0,0
  7-9,6.35,6.38,0,0,0,0,0,27.52,0,0,0,0,9.23,0,0,0,0,0,0,0,0,0,0,0,241.73,0,0,0,84.11,0,373.95,18.85,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.59,0,0,0,0,9.53,0,0,0,0,0,0,0,0,0,0,0,157.25,23.16,0,0,76,0,190.27,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.65,50.08,26.07,0,3.04,0,0,0,10.19,8.01,0,0,141.53,0,0,0,0,0.82,24.52,0,3.06,42.02,5.81,5.24,4.27,0,0,1591.61,0,4.3,11.19,5.01,4.05,0,0,0,0
 24-34,0,0,0,4.03,17.05,2.75,0,4.8,0.61,0,3.45,7.74,1.41,0,1.2,315.17,0,11.15,0,0,5.59,71.85,0,5.8,180.19,0,63.6,9.55,0,0,2223.19,0,0,14.32,0,14.59,0,9.37,0,0
 36-46,0,0,0,0,30.6,0,0,10.92,7.3,0,1.1,5.91,1.95,0.92,0,100.89,0,5.6,0,0,3.86,41.71,0,2.14,209.11,0,56.83,1.44,0,0,2060.2,0,0,8.54,0,10.59,0,1.03,0,0
 48-58,0,0,0,0,50.93,0,0,21.24,14.13,0.42,3.01,7.5,31.68,0,0.58,50.69,0,14.99,0,0,7.61,30.03,0.88,1.02,152.06,3.68,47.59,2.39,0,0,1200.36,0,0,3.2,0,17.81,0,2.74,0,0
 60-70,0,0,0,0,57.28,0,0,37.87,16.92,0.84,14.62,1.22,18.29,0,0,76.56,0,13.74,0,0,3.27,25.32,0,0,60.06,0,35.16,0,0,0,903.77,0,0,16.87,0,4.36,2.66,0,0,4.46
 72-82,0,0,2.56,3.31,101.05,0.83,0,27.61,19.15,0,7.47,16.17,7.91,0,0,141.89,0,31.84,0,0,14.59,54.91,0,0,81.53,0,73.26,3.76,0,0,772.71,0,0,3.3,0,0,15.91,2.5,0,0
 84-94,0,0,1.26,2.04,215.78,2.11,0.87,4.69,43.02,1.83,8.04,44.2,13.45,0,0,181.26,0,28.77,0.74,5.75,4.31,70.67,3.33,1.08,99.09,0,137.52,9.42,0,0,2110.68,0,0,10.55,0,0,45.98,0.63,0,1.29
 96-106,0,0,0.74,0,338.96,10.84,0,31.53,80.2,0.89,11.2,91.28,2.64,0,0,249.9,0,64.55,8.17,0,15.19,128.25,4.5,1.09,130.88,0.59,215.54,19.24,0,4.31,2253.17,0,0,9.48,0,0,104.88,0,0.69,3
108-118,0,0,0.52,1.64,290.14,0,0,39.4,129.2,0,8.96,99.61,0,0,4.62,252.02,5.78,39.17,2.76,0,15.64,104.52,0,4.26,85.25,0,150.18,8.61,0,0,1922.87,0,0,12.51,0,0,118.51,1.44,0,11.52
120,0,0,0,0,239.96,0,0,33.47,85.5,3.97,35.95,34.02,0,0,2.32,120.34,0,10.35,0,0,2.78,36.29,11.56,10.55,142.98,0,81.83,9.79,0,0,1201.56,0,0,6.56,0,1.57,36.73,13.91,9.41,0
