stage,immune,neural,periderm,vasculature,visceral.smooth.muscle
  5-6,0,0,7.68,0,0
 72-82,0.75,0,0,0,0
 96-106,1.25,0,0,0.77,0
108-118,3.36,0.67,0,0,1.04
120,4.78,0,0,0,0
