stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,mesenchyme,neural,olfactory,periderm,spinal.cord,taste,xanthophores
  3-4,0,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.05,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,11.91,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.2,0,1.25,0,0,1.3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0
 48-58,0,0,0,4.04,0,0,0,0,0,0,0,3.13,0,0,1.78,0,0
 60-70,0,0,0,10.31,0,0,0,0,0,0,0,15.42,0,0,0,0,8.05
 72-82,0,0,0,34,0,0,0,3.25,0,0,0,3.43,0,0,0,0,0
 84-94,0.62,0,0,76.19,0,6.48,0,0,0.66,15.83,0,6.22,5.64,0,0,1.52,0
 96-106,0,0,1.8,121.34,1.98,5.75,0.57,0,3.77,3.07,4.8,5.84,1.42,2.5,0,1.95,0
108-118,0,0,0,77.73,1.23,0,0,1.07,6.44,38.88,4.36,3.59,0.49,0,0,2.51,0
120,1.12,0,0,143.11,0,0,0,0,0,1.17,0,7.95,2.91,0,0,0,0
