stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,55.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,35.88,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,0,0,10.37,0,0,0,0,0,0,0
  7-9,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.07,0,0,19.42,0,0,0,0,0,0,0
 10-12,0,0,5.45,0,0,0,0,0,0,0,0,0,0,0,0,53.55,0,0,4,0,0,0,0,0,0,0
 14-21,0,0,1.32,0.82,0,0,0,0,0,0,0,0,0,0,0,20.78,0,0,0,0,0,0,2.95,3.67,0,0
 24-34,0,0,0,1.23,0.94,3.31,0,0,0,0,0,0,3.66,0,0,38.48,0.6,0,0,1.25,0,0,0,3.32,2.11,0
 36-46,0,0,0,0,0,0.66,0,0.63,0,0,0,0,1.01,0,5.32,22.7,0,0.84,0,0,0,0,0,1.81,0,0
 48-58,0,0,0,0,0,11.76,0,5.24,0,0,0,3.34,1.27,0,0,30.53,0,0.69,0,0.67,0,0,0,0.67,0,0
 60-70,0,0,0,0.8,0,28.35,1.64,4.83,0,0,0,0,2.17,0.62,0,18,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.4,0,2.44,0,0,0,0,0,0,0,8.54,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,5.76,1.26,0,2.41,0,0,0,0,5.2,0,2.14,4.04,0,0,0,0,0,0,0,0,6.28,0
 96-106,0,0,0,3.6,0,2.64,0,1.55,0.62,0,0,0,4.95,0,0,5.39,0,0,0,2.18,2.06,0,0,2.07,0,0
108-118,0,0,0,3.08,0,1.77,0,0,0,1.09,0,0,4.34,0,0,3.8,0,0,0,3.92,0,0.87,0,0,6.44,1.9
120,0,0,0,0,0,2.83,0,4.35,0,0,2.58,0,12.24,0,0,21.68,0,0,0,2.06,0,0,0,0,0,0
