stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79,0,0,0,7.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,11.13,0,0,0,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.69,0,0,0,36.76,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,24.7,2.91,11.56,0,0,0,4.08,1.38,1.97,0,0,0.81,0,0,1.04,0,5.47,0,0,1.96,137.64,1.74,0,0.84,0.89,0,2,8.86,0,5.82,39.57,0,0,0,0,0
 24-34,0,0.6,8.18,0,19.15,0,0,0,5.36,0,0,0,0,0,0,1.92,0.74,1.77,7.69,0,0,3.69,269.96,1.35,1.82,0.73,0,0,7.23,0,0,2.81,47.77,0,0,4.79,0,0
 36-46,0,0,18.99,0,31.38,0,7.09,1.84,8.46,0,0,0.65,0,15.24,0,0,0,0.85,15.5,0,0,0.66,168.1,0,3.01,1.33,0,0,34.91,0,0,0,20.08,0,0,1.58,0,6.47
 48-58,0,0,6.67,0,62.59,1.1,2.94,0,26.68,4.62,0,0,2.79,0,0,0,1.34,0,14.06,0,0,1.42,214.13,0,0.48,0,0,0,5.12,0,0,0,29.53,0,0,6.74,0,0
 60-70,0,0,19.41,0,74.74,0,14.48,3.69,29.91,3.24,0,0,0,0,1.16,0,0,0,15.61,0,3.5,4.59,181.78,0,0,2.68,0,0.96,21.44,0,0,0,9.94,0,0,0,0,0
 72-82,0,0,4.19,0,49.97,0,0,0.77,7.17,0.94,0,0.82,0,0.52,0,0,0,0,37.41,0.55,0,0.85,125.56,0,0.77,0,0,0,7.97,0,0,0,3.54,0,0,1.87,0,0
 84-94,0,0,9.8,0,38.31,0,0,0,3.94,0,0,0,0,1.25,0,0.61,0,0,23.91,0.86,6.25,1.29,89.12,0,0.56,1.26,0,0,12.25,0,0,0,3.05,0,0,9.86,0,0
 96-106,0,0,4.34,2.48,37.06,1.23,0.59,0,8.91,0,0,0,1.89,0,0,0.82,0,0,36.71,0,0.93,2.31,88.28,0,0,0,0,0,9.21,0,0,0,4.53,0,0,0,1,0
108-118,0,0,3.31,1.06,19.34,0.54,3.79,0.46,12.65,0,0,0,0.79,4.67,0,0.6,0.56,0,30.2,0,1.9,0,102.45,0,2.78,2.68,0,0,4.23,0,0,0,1.66,0.89,0.56,0,0,0.93
120,0,0,27.97,0,33.42,0,2.5,0,12.93,1.71,0,0,0,0,0,0,0,0,39.38,1.65,1.38,7.88,218.39,0,3.06,25.33,0,0,9.73,0,1.75,0,0,1.94,0,17.86,0,0
