stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,88.57,918.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0
  5-6,22.35,622.99,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56,0,0,0,16.15,16.81,0,0,0,0,0,0,0
  7-9,17.74,14.73,8.73,0,0,65.93,0,0,0,0,12.77,0,0,0,0,0,0,0,617.25,22.85,0,0,191.71,0,0,0,0,0,0,0,0
 10-12,0,45.52,7.5,0,0,45.71,0,0,0,0,0,0,0,0,0,0,0,0,397.22,9.66,0,0,146.95,0,0,6.12,0,0,0,0,0
 14-21,0,0,0,5.85,1.04,3.18,0,0,0,0,0,0,0,0,5.2,0,0,4.98,35.36,2.24,0,0,0.85,2,2.85,0.9,5.23,15.7,0,0,0
 24-34,0,0,0,1.44,0,9.46,0,0,3.96,0,0,0,0,0,5.93,0.95,0,3.49,73.47,0,0.77,1.64,0,0.99,0,0,2.08,22.32,0,1.54,0
 36-46,0,0,0,0.69,0,22.61,0,0,3.53,0,0,0,0,0,11.84,0,0,2.97,119.26,0,0.89,0,0,1.67,0,0,0,19.41,0,2.31,0
 48-58,0,0,0,1.23,0,33.08,0,0,3.88,0,0,0,0,0,9.34,0,0,1.03,111.73,0,0,1.13,0,0,0,0,0,12.89,0,2.64,0.51
 60-70,0,0,0,0.77,0,51.37,6.08,0.68,6.17,0,0,3.55,0,1.16,15.59,0,0,0.65,122.55,0,0,0,0,0,0,0,0,6.85,0,0,0
 72-82,0,0,0,0.84,0,33.76,0,0,6.74,1.05,0,0,0,0,5.81,0,3.6,4.7,71.49,0,3.73,0,0,0,0,0,0,3.59,0,0,0
 84-94,0,0,0,1.68,0,23.44,0,0.65,1.97,0.66,0,2,0,0.82,13.83,0,0,1.3,33.59,0,0.78,0,0,0,0,0.74,0,6.31,0,3.08,0.86
 96-106,0,0,0,1.4,0,8.16,0,0,0.96,0,0,0,0,1.9,4.77,0,0,1.5,37.26,0,0,0,0,0,0,0,0,1.18,0,0,0
108-118,0,0,0,0,0,4.21,0,0,1.27,0,0,0.62,1.21,0.65,1.3,0,0,4.59,42.36,0,0,0,0,0.68,0,0,0,0,1.37,1.41,1.39
120,0,0,0,0,1.38,10.41,0,0,0,1.21,0,0,0,0,0,0,0,0,34.52,0,0,0,0,1.22,0,0,0,0,0,10.08,0
