stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,1244.14,26368.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478.38,0,0,0,0,0,0,0,0,0,0
  5-6,1726.68,17849.21,0,39.34,0,0,0,0,0,0,0,0,75.92,0,0,0,0,0,0,453.67,38.29,0,0,141.02,452.52,0,0,0,0,0,0,0,0,0,0
  7-9,160.69,73.99,0,77.67,0,0,175.45,0,0,0,0,0,251.7,0,0,0,0,0,0,2449.05,106.87,0,0,828.89,16.58,199.09,0,0,0,0,0,0,0,0,0
 10-12,0,16.66,0,31.68,0,0,32.71,0,0,0,0,0,76.28,0,0,0,0,0,0,371.83,35.29,0,0,94.78,0,50.71,0,4.44,0,0,0,0,0,0,0
 14-21,0,0,1.24,0,0.88,0,2.07,0,0,0,8.61,0,0,0,0,0,3.08,0,2.11,143.5,2.15,14.79,0,0,0,2.28,3.96,1.73,27.63,14.57,79.41,0,0,0,0
 24-34,0,0,0,0,0,0.94,7.43,0,0,0,2.62,0,0,0,0,0,0.67,0,3.21,198.38,0,2.68,4.18,0,1.63,0,0,0,3.91,0,71.07,0,0,0.84,0
 36-46,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0.94,0,0.88,133.14,0,0,7.4,0,0,0,0,1.34,2.72,0,53.97,0,0,3.02,0
 48-58,0,0,0,0,0,0,12.29,0,0,0,10.92,0,0,0,0,0,0.96,0,0,80.75,0,1.36,5.28,0,0,0,0,0,0,0,37.46,0,0,0.43,0
 60-70,0,0,0,0,2.42,0,223.41,0,0,0,3.2,0,0,0,0,0,0,0,0,63.01,0,0,0,0,0,0,0,0,0,0,25.89,0,0,4.07,0
 72-82,0,0,0,0,1.53,1.47,943.58,0,0,0,10.38,0,0,0,0.6,0.8,12.92,0,5.07,65.98,0,0.5,0,0,0,0,0,0,0,0,20.56,0,0,0,3.9
 84-94,0,0,10.59,0,2.08,0,1228.62,0,0,0,6.24,0,0,0,2.31,4.64,3.61,2.8,0,24.71,0,0,0,0,3.88,0,0,0.7,0,0,7.75,0,0,0,0
 96-106,0,0,0,0,1.7,7.62,1493.6,1.02,1.05,3.14,14.74,0,0,3.95,0,0,5.49,0,0,16.1,0.81,0,3.95,0,6.79,0,0,0,0.9,0,1.76,3.32,0.79,3.51,0
108-118,3.02,0,0,0,3.07,0,1454.12,0,0,0.47,4.09,1.51,0,0.98,0,0,5.79,0,2.05,53.04,0.41,0,0.83,0,2.36,0,0,0,0,0,2.32,2.38,0,0,0
120,0,0,0,0,6.8,4.05,2360.96,0,0,0,3.18,0,0,4.63,0,0,4.5,2.13,4.28,93.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
