stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,141.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,204.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,11.86,0,6.96,29.27,0,0,0,0,0,0,0,0,0,0,0,0,0,188.47,0,0,0,183.31,0,0,7.71,0,13.28,0,0,0,0,0,0,0
 10-12,0,0,29.71,0,0,15.07,0,0,0,0,5.17,0,0,0,0,0,0,0,0,95.88,3.62,0,0,62.65,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.93,1.23,0,0,3.48,6.99,0,0.87,0,0,0,0,2.37,0,0,0,26.93,1.82,2.39,0,0.99,0,1.42,0,0.99,0,2.94,0,23.39,0,0,0,0
 24-34,0,0,0.65,0.61,0,7.11,0,11.34,3.37,0,0,9.96,0,0,0,6.01,0,0,0,166.37,2.01,14.48,5.77,0,0,1.64,0,0,9.69,0,0.63,43.99,0,0,2.13,0
 36-46,0,0,0,1.5,0,54.91,0,0,3.98,0.98,0,5.77,0,0,0,1.73,0,0,0,123.53,0.57,17.41,10.78,0,0,1.9,0,0,18.97,0,0,30.26,0,0,0,0
 48-58,0,0.96,0.63,0,0,79.9,0,0,7.06,3.21,0,4.4,0,0,0,1.95,2.25,0,0.48,110.47,0,9.78,2.8,0,0,3.24,0,0,2.91,0,0,7.93,0,0.42,0,0
 60-70,0,0,0,6.01,0,93.85,0.87,2.56,10.09,8.53,0,2.85,2.84,0,0,3.19,0,2,0,204.33,0,12.85,3.71,0,0,1.48,0,0,0,0,0,18.29,0,14.77,0,1.88
 72-82,0,1.5,0.75,0,0,61.71,1.01,1.29,20.44,15.26,0,7.38,0,0,0,16.4,2.8,5.15,0,210.56,0,18.2,2.68,0,0,0,0,0,0.57,0,0,3.05,4.48,13.88,0.71,24.48
 84-94,0,5.33,2.79,5.11,0,39.32,1.24,0,7.19,22.24,0,15.2,0,0,0,29.79,2.32,1.31,0.56,175.24,0,24.22,4.85,0,0,2.28,0,0,7.08,0,0,6.99,9.95,11.24,0,40.59
 96-106,0,13.47,1.44,14.05,0,49.57,2.77,0,4.66,30.85,0,12.86,0,1.34,0.76,13.05,0,2.43,0.67,142.86,0,45.04,6.89,0,0,0,0,0,2.78,0,0,2.39,8.09,25.42,0,75.71
108-118,0,5.14,1.23,14.25,0,48.53,1.39,0,24.54,35.11,0,8.31,0,0.98,0,22.76,0.57,0.44,1.93,205.73,0.47,13.89,0.83,0,5.73,1.14,0,0,2.55,0,0,0,9.07,13.72,0.99,45.05
120,0,3.64,1.66,6,0,61.08,0,0,5.41,33.11,0,0,0,0,0,18.47,3.05,0,0,418.82,0,21.2,26.6,0,0,0,0,0,0,0,0,0,2.31,27.92,0,122.34
