stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.8,3.82,13.63,3.05,0,8.35,0,0,0,1.22,0,0,0,0,0,0,0,0,0,14.4,0,0,2.26,176.81,1.02,0.98,3.43,0.9,0,1.35,0,23.7,2.01,15.33,21.62,0,0,0.96,0,0
 24-34,0,3.53,11.06,5.37,0,15.58,0,0,1.06,4.99,1.84,0,2.52,0,0.63,0,0.74,2.19,0,12.35,0,0,11.97,238.94,5.04,6.28,5.23,0,0,6.95,0,1.1,0,5.22,73.4,0,0,5.97,0,0.69
 36-46,1.72,0,11.3,0.76,0,24.17,0,2.46,0.57,17.53,0.58,0,2.76,0,0,0,0.79,1.46,0,34.82,0,0,2.21,220.82,0,2.68,2.25,0,0,10.93,0,0,0.58,0,50.34,0,0,2.87,0,1.67
 48-58,0,0,2.33,3.13,0,26.91,0,2.9,0.53,17.13,1.61,0,0.65,2.33,0,0.4,0.46,0,4.44,10.63,0.56,1.13,3.09,108.7,0.4,0.38,0.69,0,0.56,4.1,1.12,0,1.07,0,31.57,0,0,1.61,0,3.63
 60-70,0,0,1.09,4.97,0,66.24,0,0.87,0.78,39.53,0.84,2.38,1.17,0,0,0,0,1.41,0.93,35.22,0,0,6.15,82.85,3.29,3.45,1.16,0,0,2.91,0,0,0,0,29.29,0,0,3.56,0,0
 72-82,0.64,0,6.83,64.57,0,123.22,0,0,5.83,38.1,5.66,0.65,1.07,1.22,0,0,2.12,0,0,44.78,0.77,1.17,3.98,138.92,0,5.24,13.67,0,1.77,9.75,0,0,2.2,0,38.56,0,0,9.94,0,12.76
 84-94,0,1,11.76,93.24,0,155.52,0,0,0,51.96,0.71,0,9.56,4.93,0,3.74,2,2.18,2.81,79.88,9.28,6.03,12.7,139.05,0.58,2.7,12.6,0,2.3,41.77,0,0,0.74,0,21.94,0.57,0,9.96,0,9.58
 96-106,0.95,0,11.78,174.35,0,200.99,0,2.74,4.52,92.99,4.03,0,0.61,8.89,1.48,8.75,0,1.77,4.31,85.85,1.15,2.84,8.7,131.69,2.03,1.7,13.3,0,6.22,26.43,0,0,0.63,0,29.19,1.2,0,22.22,3.67,7.81
108-118,0,0,28.83,97.27,0.43,224.56,0,0.54,2.83,110.37,4.01,0,0,8.69,1.79,20.84,1.62,5.75,9.25,108.63,0,0.96,23.44,211.43,0.89,2.5,7.98,0,4.38,21.17,0,0,1.18,0,2.82,1.47,0.6,11.48,0,14.39
120,0,0,23.3,214.16,0,168.79,2.85,6.21,3.22,87.02,0,0,0,15.61,3.3,6.47,5.61,4.74,0,98.83,0,15.12,8.28,270.04,2.36,11.55,5.51,0,11.76,11.12,0,1.12,2.89,0,4.81,0,1.51,18.97,8.93,11.33
