stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,14.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,17.62,0,0,0,0,0,0,0
 10-12,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0
 14-21,0,1.27,0,0,2.31,0,0,0,0,0,0,0,0,0,2.84,0,16.32,0,0,0,1.72,1.54,1.03,92.16,0,0,0,0
 24-34,0,0,0.66,0,1.12,0,0,0,0,0,0,0,0,0,1.26,0,157.08,0,1.36,0,0,1.86,0,181.16,0,0,0,0
 36-46,0,0,0,0,2.92,0,0,0,0,0,0,0,0,0,0.61,0,408.49,0,0,0,0,0,0,136.23,0,0,0,0
 48-58,0,0,1.59,0,17.87,0,0,3.72,0,0.8,0,13.64,0,0,10.33,0,628.18,0,0,0,0,2.35,0,215.81,0,0,0,8.91
 60-70,0,0,6.85,0,21.73,0,0,21.24,0,1.42,0,0,0,0,11.17,1.75,615.06,1.73,0,0,0,3.25,0,135.77,0,0,0,1.56
 72-82,0,0,1.79,0,29.08,0,0,1.73,0,0.58,0,0,0,0.88,2.61,0,572.42,0,0,0,0,5.82,0,130.75,0,2.05,0,0
 84-94,0,0,1.56,0,17.9,0,1.31,1.19,0,0,0.68,0,0,7.48,3.01,3.1,342.68,0,0,0,0,4.22,0,71.71,1.64,0,0,0
 96-106,0,0,2.46,11.96,12.05,0.62,0,4.95,0,0,0,0,0,0,9.72,2.86,300.51,0.58,0,0,0,2.45,0,43.97,0,0,0.91,0
108-118,0,0,5.73,0,11.17,0.72,0,3.93,0.52,2.88,0,0,0.53,6.03,1.42,0,429.56,0.77,0,2.33,0,3.18,0,26.63,0,0.65,0,0
120,0,0,17.92,8.45,115.55,0,0,0,0,1.57,0,0,0,0,2.73,0,818.34,4.45,0,0,0,0,0,104.05,0,0,0,0
