stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,75.5,1754.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.08,0,0,0,0,0,0,0,0
  5-6,30.46,860.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.34,0,0,0,9.32,0,9.1,0,0,0,0,0,0,0,0
  7-9,0,7.08,5.42,0,0,15.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.48,9.02,0,0,50.91,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,5.26,0,0,1.29,0,0,0,0,0.92,0,0,0,2.43,1.75,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,23.07,0,0,10.83,16.93,0,0.69,0,0,0,2.55,0,0,0,1.49,0,1.6,0,0
 36-46,0,0,0,0,0,0,0,0,2.15,0,0,0.6,0,0,0,0,0,80.6,0,1.32,18,19.34,0,0,0,0,0,0,0,0,0,0.58,0,0.6,0,0
 48-58,0,0,0,1.16,0,0,0,0,6.22,0,0,0,0,0,0,0,0.53,114.22,0,0,10.83,12.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,6.62,0,0,14.33,0,0,0,1.38,0,0,0,0,299.77,0,2.23,12.94,12.38,0,0,0,0,2.46,0,0,0,0,2.3,1.17,4.56,1.03,0
 72-82,0,0,0,1.07,0,20.19,0,6.38,29.97,2.85,2.69,4.81,6.67,0,0,0,0,725.31,0,3.53,41.75,42.86,0,1.49,0,0,4.06,0,0,0,0,4.78,7.03,1.7,0.86,0
 84-94,0,0,0,2.29,0,33.26,0,0,47.27,1.15,0,6.62,12.91,0,0,1.81,0,932.91,0,14.22,28.7,27.4,0,0,0.59,0,2.26,0,0,0,0,7.63,8.67,0.6,3.29,0
 96-106,0,0,0,1.56,2.09,26.15,1.64,0,22.93,6.78,0.57,12.1,15.96,0,5.5,0.65,0,947.37,0,13.98,49.88,72.03,0,0,0,0,4.98,0,3.82,0,0,5.13,25.12,6.19,7.71,6.2
108-118,0,0,0,0.42,0.56,17.52,0,0.52,27.08,8.42,1.76,8.51,27.72,0.55,0,0,0,1623.62,0,15.14,64.45,63.34,1.25,0,0,0,13.97,0,0,0,0,4.78,14.55,1.46,6.18,0
120,0,0,0,6.63,0,30.97,0,0,20.95,2.81,4.34,13.28,58.12,2.21,0,0,0,1604.64,1.56,2.76,5.65,77.76,0,0,0,0,34.57,0,0,0,0,0,11.75,25.51,19.49,0
