stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.29,277.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.05,170.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.94,0,0,5.05,0,0,0,0,0,0,0,0,12.24,0,0,0,0,0,0,0,0,0,0,34.19,144.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.05,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,133.82,1670.72,0,10.76,0,0,0,10.73,0,0,0,0,0,0,0
 14-21,0.93,0,0.8,0,10.32,2.79,3.13,0,0,0,1.19,0,10.74,0,0,0,0,0,0,0,2.88,0,1.7,83.08,14892.61,0,3.04,0,2.84,16.21,0,2.52,5.36,1500.4,0,2.07,0,0
 24-34,0,0,0,1.25,0.69,2.17,6.48,0,0.72,0,2.74,0,0,0,0,2.5,0,0.86,0,0,6.66,0,11.77,76.11,1546.31,0,0,0,12.42,0,0.6,10.17,0,1431.24,0,2,0,0
 36-46,0,0,0,0,0.76,0,11.12,6,1.17,0.8,0,0,0,0.99,0,0,0,0,0,0,23.06,0,4.57,75.68,737.58,0,0,0,2.5,0,0,0.66,0,564.83,0,17.52,0,0
 48-58,2.31,0,0,0,0,0,12.66,0,0,0.91,2.08,0,0,0,0,0,0,0,0,1.35,31.73,0.52,1.03,46.72,269.57,0,0,0,0,0,0,0.38,0,376.09,0,0,0,0
 60-70,0,0,0,0,3.78,1.92,3.67,0,0,0,1.16,1.86,0,0,0,0,3.92,0,0,0,36.64,4.35,0.67,31.48,237.06,1.84,0,0,5.42,0,0,0,0,13.54,38.64,1.57,0.85,0
 72-82,0,0,0,0,2.84,1.81,16.73,2.93,0,0,1.43,0.59,0,0,0,7.79,1.51,0,0,0,70.29,2.89,2.3,58.85,200.25,0.66,0,0,1.14,0,0,0,0,5.72,73.65,1.51,1.68,0
 84-94,0.62,0,0,0,4.38,0,9.04,0.56,0,1.87,1.89,0,0,0,0,0,0,0,0,0,48.26,3.67,0.68,16.11,191.79,0,0,0,2.9,0,1.62,0,0,6.41,111.16,0,0,0
 96-106,0,0,0,0,0.59,0,12.35,0,1.41,1.39,6.89,0,0,0,0,0,0,4.34,9.58,0,21.45,0,0,38.75,187.3,0,0,0,3.38,0,0,0.57,0,3.66,64.26,0,1.87,0
108-118,1.33,0,0.75,0,2.95,0,22.54,0,0,0.99,1.42,1.19,0,0,0.59,0.48,0,0,0,0,49.13,8.34,0,12.23,202.18,0,0,1.53,6.64,0,0.53,0.94,0,9.52,77.95,1.39,2.32,2.41
120,2.82,0,0,0,0,0,6,2.94,0,0,12.34,2.43,5.2,0,0,0,0,0,0,0,18.1,0,1.9,37.49,158.38,1.47,0,9.36,1.51,0,0,0,0,6.42,24.23,0,0,0
