stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 14-21,1.8,0,0,0,0,0,0,0,0,0,2.94,0,0,0,14.47,0,0,1.38,0,2.23,2.25,0,2.38,6.62,0
 24-34,0,0,0,0,0,0,0,0.73,0,0,0,0,1.51,0,16.65,0.63,0,0.73,0,7.13,0,0,0,15.35,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0.7,3.84,0.72,23.5,0,1.82,0,0,16.48,0,0,0,11.85,0
 48-58,0,0,8.35,0,0.69,0.98,0,4.27,0,0,0,0,0.4,1.38,40.9,0,0,0,0,2.31,0,0,0,6.63,0
 60-70,1.42,0,11.69,0,0,2.81,0,0,0,0,0,0.88,1.69,0,30.35,0,0.58,0,0,5.69,0,0,0,2.07,0
 72-82,0,0,3.32,0,0,1.34,2.97,0,0,0,0,0,2.48,0.95,15.44,0,1.33,0,1.31,10.05,0,0,0,0.7,1.82
 84-94,0,0,2.11,0,0,0,0,1.33,0,0,0,0,2.94,0.56,6.31,0,0,0,0,8.27,0,0,0,0,0
 96-106,2.59,10.25,2.27,0.58,0,7.47,0,0,0,0,0,0,3.52,0,9.2,0,1.47,0,0,11.67,0,0,0,4.7,3.14
108-118,0.99,12.43,2.86,0,0.59,0,2.22,0.66,0.59,0,0,0,0,0,6.77,0,0.42,0,0,8.54,0,0,0,2.91,0
120,1.11,0,0,0,0,0,0,2.43,0,1.62,0,0,0,0,3.63,0,2.28,0,0,0,0,1.47,0,0,0
