stage,blastomeres,epidermis,eye,fin.epithelia,ionocyte,mucous,neural,paraxial.mesoderm,periderm,xanthophores
  3-4,34.18,0,0,0,0,0,0,0,0,0
  5-6,48.84,0,0,0,0,0,0,0,17.14,0
  7-9,0,0,11.2,0,0,0,8.69,7.15,3.89,0
 10-12,0,0,0,0,0,0,15.46,35.69,9.77,0
 14-21,0,0,0,0,0,0,0,0,10.05,0
 24-34,0,0,1.61,0,0,0,1.63,0,51.23,0
 36-46,0,0,0.63,0,0,0,0,0,63.74,1.45
 48-58,0,0,0,0,0,0,0,0,55.28,0
 60-70,0,0,1.96,0,0,1.47,0,0,28.15,0
 72-82,0,2.16,0,0,0,0,0,0,25.75,0
 84-94,0,0.68,0,0,0.6,0,0,0,56.03,0
 96-106,0,0.57,0,1.1,0,0,0,0,54.18,0
108-118,0,8.32,0,0,1.06,0,0,0,30.79,0
120,0,5.09,0,0,0,2.78,0,0,40.33,0
