stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.98,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.24,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.93,1.23,81.15,1239.07,0,0,0.85,0,0,0,0,0,0.99,0,0,36.96,0,4.27,1.59,0,12.27,4.45,0,6.09,142.93,0,0,0.97,0,0,1639.22,0,1.96,0,0,0,9.27,0,0,2.88,0,0
 24-34,4.02,0,7.67,966.85,0,0,11.21,0,31.47,0,3.73,1.83,1.16,0,1.25,17.65,0,20.03,0,0,62.23,85.06,0,3.5,592.79,4.65,21.84,10.67,0,0,3668.51,0,0,0,0,0.65,28.28,0,0,26.16,0,0
 36-46,0,3.09,4.42,3395.45,0.75,0,38.34,1.18,307.45,2.18,9.56,7.4,0,0,3.99,59.27,1.76,51.17,0,12.29,93.11,265.67,26.31,15.19,836.21,11.3,36.75,0.58,0,0.97,8420.27,0,0,0.67,0,0,107.43,0,0,51.09,0,1.43
 48-58,0.58,0,1.73,2305.19,0.45,0,108.44,1.77,290.01,1.27,19.38,16.27,1.49,3.11,4.55,20.43,0,49.7,7.56,0,155.54,116.37,14,6.17,319.3,6.2,6.04,1.06,0,0,6494.86,0,0,0,0,0,68.68,0,1.32,32.64,1.98,14.67
 60-70,0,0.77,0,4846.31,5.21,0,282.09,0.63,811.64,7.8,36.9,96.8,1.71,1.85,16.1,99.61,0,94.38,7.45,0,748.69,380.24,54.39,17.42,478.92,3.13,23.85,1.93,0,1.81,6424.92,0,0,0,0,0,69.9,117.84,42.7,20.4,43.77,55.6
 72-82,0,2.1,0,2462.56,3.77,0,133.86,0.9,304.7,6.98,33.01,50.35,0,1.02,18.79,70.76,0,86,2.04,1.8,618.48,157.48,31.95,1.68,220.04,0.76,15.59,9.97,0,3.53,3591.76,0,0,0,3.93,0,21.39,242.1,58.8,18.57,31.13,0
 84-94,0,5.14,0,7017.64,27.86,0,150.34,0,1329.69,3.51,38.76,124.76,0,0,54.23,307.19,1.71,262.01,5.25,7.47,719.99,265.71,26.53,3.14,245.1,3.16,13.78,24.59,0,5.27,14924.93,0,0,1.69,0,0,0.66,821.55,90.14,16.13,69.17,15.54
 96-106,0,7.18,0,8474.86,59.74,12.85,329.11,1.41,1494.55,7.01,98.78,374.59,0,1.94,35.54,444.36,0.87,603.67,22.47,1.7,749.13,707.45,8.77,5.6,584.65,9.58,78.14,14.73,0,9.5,14850.72,3.39,0,0,8.39,0,26.86,2131.12,69.19,41.29,41.66,9.12
108-118,1.16,0.41,0,9527.2,28.64,11.88,263.41,3.88,2772.07,13.05,71.1,436.96,0,6.1,44.57,819.63,3.55,611.71,12.2,1.75,659.38,665.65,15.65,10.62,593.33,2.41,50.51,6.77,0,6.39,21105.92,0,0,6.5,0,0,22.74,2547.83,40.89,10.72,52.81,9.14
120,0,0,0,4678.77,11.14,5.29,172.19,16.08,1370.77,8.81,36.01,153.14,0,2,36.58,174.74,15.75,464.77,54.41,0,516.3,318.77,4.76,18.41,487.47,0,34.48,48,0,19.53,7882.45,0,0,0,0,0,5.17,923.14,24.8,30.45,28.24,4.33
