stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.53,0,0,0,7.19,0,3.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.36,0,0,2.01,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,52.32,0,3.47,0,0.8,0,0,0.91,0,0,3.27,7.1,0,0,0,0,0
 24-34,0,0.65,0,0,8.25,0,0,0,0.61,0,0,0,10.94,0,0,5.19,1.26,0.82,0,0,394.33,0,3.89,0,0,0,2.77,0,0,0,0,37.57,0,0,0,0,0
 36-46,0,1.07,0,0,81.05,0,0,0,2.83,0,0,0,6.08,0.88,0,2.68,1.36,0,0.55,0,1038.24,0,6.29,0,0,0,8.56,0,0,0,0,88.54,0,0,0,0,0
 48-58,0.54,3.8,0,0,497.6,0,5.21,0.41,19.49,0,0.44,0,1.15,0,0.67,0,11.81,0,0,1.63,1596.91,6.25,0.84,0,0,0,7.12,0,0,2.52,0,144.06,0,0,1.96,0,0
 60-70,0,8,0,0,2194.83,3.75,0,2.92,41.95,0,0,0,0,0,0,0,29.23,0,1.92,0,2506.06,1.73,0,0.81,0,0,4.79,0,4.44,0,0,96.99,0,2.29,5.86,0,5.18
 72-82,0.98,10.29,11.22,0,2568.2,0.76,0,4.46,35.19,0.54,0,12.76,5,0,0,0,44.98,1.49,2.02,4.26,2333.53,0,0.84,3.18,0,0.71,3.57,0,0,0,0,73.05,0,1.23,4.35,2.26,4.77
 84-94,0,21,9.41,0,1878.38,0,0.56,2.12,48.33,0,0,0.6,10.36,0.79,0,0,21.33,0.65,1.9,2.75,1518.61,0.62,0.93,0,0,2.48,14.53,0,0,0,0,45.74,0.9,2.17,0.93,0,8.19
 96-106,0,29.05,23.02,0,1579.14,0,1.33,3.18,32.81,0.61,0,5.59,1.39,0.75,0,0,32.75,0,1.02,0,1310.91,1.43,3.87,0.78,0,4.63,6.77,0,0,0,0,26.68,0,2.59,3.38,1.77,5.7
108-118,0,28.32,1.45,0,1253.74,1.15,0.48,1.26,29.67,0,0,1.19,5.13,0.51,3.92,8.53,28.11,1.08,0,2.79,1670.13,0,1.6,4.38,0,0,5.27,0,1.48,0,0,25.2,1.13,0,2.16,4.39,0
120,0,36.38,4.61,5.49,1132.02,1.01,0,1.29,67.98,0,0,0,0,3.73,1.88,0,19.4,0,0,0,2908.91,0,2,14.75,0,0,3.59,0,0,0,0,50.11,0,0,0,0,0
