stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,4.52,0,0,8.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,11.94,5.7,0,0,7,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.75,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,1.13,14.4,0,0,3.3,30.63,382.11,0,0,0,0,1.42,1.39,22.55,1.76,1146.33,0,0,0,0,0
 24-34,0,0,0.97,3.19,1.72,0,0,3.64,0,0,0,0.8,0,0,0.77,0.77,0,0,0,2.36,5.41,0,0,1.31,609.3,239.92,5.52,0,0,0,13.68,0,6.85,2.51,1621.82,0,0,1.1,0,1.85
 36-46,0,0,0,0,0.72,2.7,0,21.94,0,0,0.57,2.4,0,0,0,0,0,0,0,6.19,13.18,1.26,0,2.42,1202.02,120.54,2.47,2.9,0,0,0.65,0,0,0,1692.47,0,0,37.99,0,3.13
 48-58,0.77,0,0,2.46,13.56,0,0,165.62,0,0,0.44,30.99,0.49,0,0,0,0,0,0,0,26.32,0,0,1.48,1413.34,67.98,0,0.91,0,0,8.71,0,0.48,0,2498.62,0,0,0,0,5.08
 60-70,0,0,0,0,4.58,0,0,416.42,0.65,3.05,0.6,12.45,3.52,0,0,0,0,0,0,4.47,39.42,0,0,0,951.42,41.57,0,0.91,0,0,2.27,0,0,0,1425.16,0,0,0.72,0,4.47
 72-82,0,0,0.71,0,1.49,6.96,0,352.2,0,0,0,22.78,2.3,0,0,0,0,0,0,0,33.5,0,0,1.61,753.97,19.23,0.97,1.19,0,0,3.55,0,0,0,1556.41,0,0.61,0.63,0.93,1.88
 84-94,0,0,0,0,7.25,0.59,0,145.04,0,0.68,1.27,69.75,8.34,0,0,0,0,1.1,0,16.52,47.98,0,0.63,17.01,546.66,20.25,0,0,0,1.49,3.87,0,0,0,1238.22,0,0,0,0,0
 96-106,0,0,0,0,23.15,3.28,0,136,0,1.81,0,60.31,13.15,0.66,1.4,1.06,0,0,2.24,0,18.25,1.89,0,0.59,355.03,21.44,1.71,2.1,0,0,0.72,0,0,0,1506.77,0,0,0,1.91,0
108-118,0,0,0.71,0,8.27,1.24,2.79,123.55,0,1.65,0.77,89.27,10.34,0,0,0,5.4,0.51,0,0,66.22,0,0,0,343.57,7.5,0.59,10.46,0,1.37,2.81,0,0,0,750.55,4.77,2.03,0.85,0,0
120,0,0,0,0,5.32,0,0,124.99,0,3.63,12.74,74.43,0,0,0,0,0,0,0,0,47.46,0,0,7.01,535.2,20.37,0,14.49,0,0,4.56,0,0,0,1018.23,0,0,23.2,0,0
