stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0,0,0,0,0,0,0
  5-6,0,69.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.31,0,0,0,13.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.28,0,0,0,0,0,7.55,0,0,0,0,0,5.15,0,0,0,0,0,0,0,0,0,0,0,11.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.99,0,0,0,72.23,0,0,0,4.54,0,0,0,0,0,0,0,0
 14-21,0,0,3.29,0.89,56.93,27.92,35.48,0,1.38,0,6.44,4.71,0.94,2.84,0,0.95,0,0,0,0.85,31.1,0,0,23.79,340.68,9.63,1.02,4.84,6.87,0,19.14,44.77,4.92,1.95,33.95,103.56,0,0,5.16,0,1.85
 24-34,0,0,0.8,1.2,12.49,0.64,24.73,0,3.03,0,8.15,1.7,0,0.86,3.03,1.51,0,0.65,0,0,29.2,0,0,18.59,239.83,1.47,3.2,0,0,0,14.17,0,1.26,0,3.6,69.54,0,0,3.18,0,0
 36-46,0,0,0,0,2.7,0,37.36,0,6,1.6,10.08,0,0.59,0,0,4.16,0,3.95,1.62,0,11.53,0,0,6.09,101.3,8.58,3.69,0,0,0,13.33,0,0,0,0,24.78,0,0,2.3,0,0
 48-58,0,0,0,0,9.01,0,72.96,0.61,2.94,0.4,18.34,0,1.41,1.74,0.38,3.61,0.51,0,0,4.31,26.63,0,1.7,5.94,74.44,0,0.85,0.92,0,0.56,6.83,0,0,0.45,0,30.71,0,0,2.95,0,7
 60-70,0,0,0,0,12.24,0,96.78,0,2.2,0.76,25.46,0.7,0,0.6,1.88,0,1.3,0.84,4.92,0,45.47,2.07,4.43,9.51,92.96,0.63,0,2.28,0,0,18.31,0,0,0,0,22.07,0,2.28,1.79,0.59,0
 72-82,0,0,1.23,0,6.97,16.52,45.21,1.95,0,0,18.59,2.84,0,0.75,6.66,2.89,0.49,3.47,2.59,0,69.16,0,1.31,4.12,49.21,0,0.95,0,0,3.33,10.55,0,2.08,0,0,7.13,1.33,2.53,17.98,3.65,0
 84-94,0,0,1.26,0,10.57,15.62,51.63,0,5.75,6.08,50.72,0.68,4.17,0,2.13,4.27,1.52,3.11,0.57,3.11,85.66,0,4.21,3.91,52.87,0,5.52,3,0,0.57,22.17,0,0.8,0,0,3.52,0,0.71,15.29,2.86,0
 96-106,0,0,1.8,0,16.57,5.94,58.13,0,6.78,5.47,26.79,4.46,0,2.03,3.3,1.78,0,8.92,1.66,1.15,85.59,1.11,1.87,6.87,45.51,0,1.79,11.51,0,0,17.42,0,0,0,0,3.04,1.1,2.52,19.41,0,7.19
108-118,0,0,2.48,0,13.63,1.19,52.19,0,3.67,1.47,31.99,5.29,0,0.74,3.81,0.41,1.65,2.09,3.6,0,97.77,2.7,4.69,6.7,103.86,0.56,6.65,7.26,0,0,9.04,0,0,0,0,0.93,4.74,0,7.55,1.32,7.15
120,0,0,0,0,9.98,5.76,40.38,0,1.05,0,51.41,5.14,0,0,1.31,0,2.64,0,3.71,1.33,19.59,0,0,1.9,76.26,10.25,3.06,7.74,0,5.29,29.09,0,0,0,0,5.23,0,6.42,2.85,0,0
