stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  5-6,13.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.24,0,0,0,0,0,0,4.52,0,0,11.2,0,0,0,0,81.23,0,0,14.89,0,0,0,0
 14-21,0,6.04,82.75,0,0,0,0,2.55,0,0,4.18,571.26,0,5.99,0,0,3.73,3.68,0,0,1.66,0,9.62,0
 24-34,0,21.43,77.65,0,0.7,0.84,0,11.4,0,0,20.1,883.45,0.96,10.06,0,3,22.7,0,0,0,0,1.03,72.78,0.7
 36-46,0,0.72,5.17,0,1.34,0,0,19.55,0,0,3.85,320.32,0,0,0,0.67,17.25,0,0,0,0,0,88.85,0
 48-58,0,0,1.57,1.98,4.48,0,0,20.91,0,0,3.1,124.78,4.57,0,0,0,33.33,0,1.2,0,0,0,34.19,0
 60-70,0,0,4.41,0,1.54,0,0,23.67,0,0,0.57,83.5,1.95,0,0,0,10.75,0,0.63,0,0.57,0,14.25,0
 72-82,0,0,0,0,16.25,0,0,13.34,0,0,0.5,54.72,0,0,0,0.61,3.94,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.02,0,0,26.05,0,0,0,16.94,0,0,0,0,0,0,0,0,0,0,0,0.63
 96-106,0,0,0,0,0,0,0,35.9,0,3.18,0,13.04,0,0,3.13,0,15.59,0,0,0,0,0,0,0
108-118,0,0,3.36,0,5.15,0,1.34,14.69,0,0,0,2.44,0,0,0,0,17.14,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,45.49,0,1.75,4.79,13.66,0,0,0,0,0,0,0,0,0,0,0,0
