stage,eye,neural,olfactory,spinal.cord
 36-46,0,1.2,0,0.82
 48-58,0,3.34,0,0
 60-70,0,8.6,0.98,0
 72-82,0,8.67,0,0.64
 84-94,0.83,2.28,0,0
 96-106,0,3.33,0,0
108-118,0,13.75,0,0
120,0,16.18,0,0
