stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,97.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.32,0,0,0,0,0,0,0,0,10.98,0,0,0,0,0,0,0,0,7.89,0,0,0,9.94,0,0,0,0,0,0,0,0
 10-12,0,12.66,0,0,8.01,0,0,0,0,4.05,0,0,0,0,0,0,0,0,27.5,10.77,0,0,0,0,0,10.73,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44,0,1.51,0,0.82,0,1.08,0.86,2.99,0,0,0,0
 24-34,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,128.4,0,0,0,0,0.76,0,0,24.29,0,0,0,0
 36-46,0,0,0,0.67,12.67,0,0,0.73,0,0,0,0,0,0.6,0.68,0,0,0,311.12,0,4.39,0,0,0,0,0,27.15,0,0,0,3.99
 48-58,0,0,0,0,110.34,0,0,13.43,0,0,0,0,6.91,1.35,4.57,0,0,0,505.7,4.07,0,0,0,0,0,0,42.48,0,0,0,0
 60-70,0,0,2.78,0,388.96,0,1.62,8.58,0,0,0,11.22,0,0,4.5,2.18,0,0,949.9,0,3.72,0,0,3.69,0,0,49.06,0,0.79,0,0
 72-82,0,0,4.39,0,257.76,0,0,5.64,1.54,0,0,0,0,0,7.57,0,0,2.66,826.26,0,1.38,0,0,4.43,0,0,35.2,0,0,1.79,0
 84-94,0,0,2.45,0,150.72,0,0,10.62,0,0,0,0,0,0,2.31,0,0,0,426.73,0,0,0,0,1.29,0,0,6.96,0,0,0,0
 96-106,0,0,5.35,3.16,83.97,0,0,9.53,0.68,0,0,0,0,0,4.22,0,0.62,0,340.9,0,0,0,0,5.11,0,0,5.31,0,0,1.67,0
108-118,0,0,3.35,0,131.85,1.3,0,6.93,0.47,0,0,0,0,0,1.76,0,0,0,439.57,0,0,0,0,2.51,0,0,18.6,0.89,0,1.3,0
120,0,0,6.65,1.88,194.91,1.55,0,0,0,0,5.06,0,0,0,15.22,0,0,0,532.84,0,12.72,9.44,0,0,0,0,11.02,0,0,0,0
