stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,23.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,6.22,0,0,0,0,0,0,0,0,0.91,6.38,0,0,0,0,0
 24-34,0,0,0,0.77,0,0,9.62,0,0,0,0,0,1.86,0,0,0,0,0,0,3.38,0,3.28,165.48,0,3.23,0.74,0,0,1.83,0,0,0,23.46,0,0,2.93,0,0
 36-46,0,0,0,4.93,0,0,8.28,0,0,0,5.82,0,4.17,0,0,0,0,0,0,6.95,0,0,469.89,0,6.2,0,0,0,0.68,0,0,0,54.55,0,0,0,0,0
 48-58,0,0,0,12.68,0,0,88.36,0,0,0,7.41,0,0.4,0,0,0,0.49,0,0,17.3,0.56,0.42,617.14,0.66,5.63,0,0,0,0,0,1.3,0,48.53,0,0,0,0,0
 60-70,0,0,0,0.9,0,0,336.75,0,2.98,0,7.4,0,0,0,0,0,0,0,0,20.21,2.98,4.58,861.12,0.64,7.79,0,0,0,0.83,0,0,0,35.08,0,0,0,0,0
 72-82,0,0,0,19.44,0.85,0,1068.3,0,0.58,2.09,26.49,0.53,1.61,1.07,0,0,0,1.19,0,27.42,7.47,0,1041.79,0,5.91,0,0,0,0,0,0,0,53.66,0,3.51,2.32,5.04,7.15
 84-94,0,0,0,16.88,0,0,879.1,0.64,1.47,1.59,29.76,0,1.45,1.78,0,0,0,0,0.71,17.79,26.48,2.87,706.11,0.99,2.97,0.72,0,0,7.12,0,0,0,25.93,7.21,2.51,0,8.71,0
 96-106,0,0,0,8.43,6.13,0,1163.94,6.49,1.45,0,32.77,0,0,0.75,0,0.66,0,6.49,3.42,18.06,28.35,2.42,781.96,0.64,1.13,1.16,0,0.97,6.62,1.4,0,0,8.41,7.15,7.78,5.63,12.87,0
108-118,0,0,0.49,22.67,0,2.36,1047.43,6.56,0.48,1.02,38.78,1.03,0.64,0.44,1.4,0.55,0,0.79,0.51,29.13,11.01,2,810.79,1.91,6.52,3.38,0,0,5.18,0,0,0,5.76,3.37,6.94,3.75,11.86,0
120,0,0,1.66,22.49,0,0,900.55,5.69,0,0,50.98,1.94,1.54,3.86,0,0,0,0,1.51,20.46,38.19,3.01,912.69,5.23,12.84,0,0,0,0,1.14,0,0,20.18,1.19,1.32,31.55,36.45,0
