stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,24.76,140.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0
  5-6,0,51.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,21.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.13,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,12.04,0,0,1.85,0,0,0,5.22,0,0,0,0,0,0,0,0,0,0,0,76.36,7.27,0.92,5.67,0,9.53,5,0,19.78,0,0,2.3,0
 24-34,0,0,0,0,8.82,0,0,19.94,0,0,0,1.95,0,0,0,0.79,10.01,1.34,0,5.98,0,0,2.27,189.11,0,3.57,19.19,0,22.43,3.96,0,26.37,0,0,32.82,0
 36-46,0,0,0,0,1.86,2.17,0,22.88,0,0,0,6.79,0,0,0,0,2.56,0,0,15.26,0,0.56,2.95,115.93,0,3.86,38.33,0,20.1,0.86,0,15.09,0,0,230.7,0
 48-58,0,0,0,0,1.3,0,0,26.97,0,1.82,0,11.58,1.8,0,0,0,0.43,3.05,0,33.64,0.44,0.37,0.74,112.58,0,3.91,27.43,0,3.87,0,0.89,20.54,0,0,337.34,0
 60-70,0,0,0,0,9.22,0,0,167.17,0,0.76,0,14.97,5.88,0,0,0,0,0,0,15.18,0,0,0.72,121.25,0,0.6,31.1,0,5.68,0.59,0,38.8,0,0,261.17,0
 72-82,0,0,0.69,0,2.45,0,0,248.44,0,0,0,99.18,1.17,0,0.54,0,0.92,3.14,1.79,48.44,0.52,1.84,0.55,72.53,0,1.38,47.77,0,0.56,0,0,9.39,0.56,4.95,331.51,0
 84-94,0,0,2.21,0,14.45,0.82,0,816.76,0,0,0,58.83,1.56,0,0.97,0.73,0,0,0,43.99,0,0,2.09,77.32,0,8.26,73.36,0.77,15.25,0,2.75,11.46,2.79,0,181.34,0
 96-106,0,0,0,0,18.4,2.03,0,1195.7,0.95,1.61,0.89,202.35,6.32,0.78,3.16,1.87,2.51,12.03,0,57.66,1.35,8.85,1.64,134.67,0,5.86,57.87,1.16,11.67,0,0,0,2.63,0,198.23,1.78
108-118,0,0,0.52,0.74,13.08,0,3.15,1352.47,0,0.69,0,187.78,5.37,0.56,1.08,3.94,3.01,8.7,0,33.68,1.61,11.33,3.78,59.13,0.43,2.95,64.9,0,16.4,1.14,0,2.09,1.13,0,139.39,0
120,0,0,2.52,0,2.67,5.14,0,590.18,0,0,0,357.8,14.98,0,4.32,4.61,0,0,0,31.44,0,0,9.29,61.59,0,4.31,23.48,0,2.38,0,0,0,0,0,138.23,0
