stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,13.45,356.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,502.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0
  7-9,3.69,0,3.23,0,0,16.32,0,0,0,0,0,0,145.23,0,0,0,66.44,0,0,0,0
 10-12,0,19.96,8.57,0,0,28.16,0,0,0,0,0,0,141.2,8.29,0,0,28.62,0,8.18,0,0
 14-21,0,0,0,2.04,2.12,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,3.05,0
 24-34,0,0,0,0,0,3.43,0.6,0,0,0,6.75,0,21.37,0,0.6,0,0,0,0,0,5.19
 36-46,0,0,0,0,0,4.4,0,0,0,0,0,1.02,27.72,0.7,0,0,0,0,0,0,2.26
 48-58,0,0,0,0,0,3.57,0,0,0,0,0.92,0.51,18.66,0,0,0,0,0,0,0,3.48
 60-70,0,0,0,0,0,1.56,0,0,0,0,8.65,0,20.4,0,0,0,0,0,0,0,1.32
 72-82,0,0,0,0,0,6.16,2.77,0,0.9,0,0,0,9.69,0,0,0,0,0,0,0,3.45
 84-94,0,0,0,0,0,4.83,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.57,0,1.96,0,0,0,0,4.25,0,6.48,0,0,0.57,0,0,0,0,0
108-118,0,0,0,0,0,0,2.7,1.4,0,1.37,0.74,0,4.72,0,0.43,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,2.36,0,3.68,0,0,0,0,0,0,0,0
