stage,blastomeres,eye,glial,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,132.97,0,0,0,0,0,0,41.56,0
  5-6,37.86,0,0,0,25.11,0,0,0,0
  7-9,0,0,0,4.3,8.39,0,5.28,0,0
 10-12,0,0,0,0,29.05,6.38,0,0,0
 14-21,0,0,1.26,0,6.29,0,0,0,6.95
 24-34,0,0,0,0,4.92,0,0,0,3.75
 36-46,0,0,0,0,1.43,0,0,0,1.64
 48-58,0,0,0,0,0,0,0,0,2.17
 60-70,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.98
 84-94,0,5.9,0,0,0,0,0,0,0.66
 96-106,0,8,0,0,0,0,0,0,0
108-118,0,1.8,5.17,0,0,0,0,0,0
120,0,1.34,0,0,0,0,0,0,0
