stage,eye,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,spinal_cord,xanthophores
 14-21,0,0,0,0,1.15,0,0,0,3.75,0.93,0,0.85,1.9,0
 24-34,0.61,0,0,0,0,0,1.85,0,6.19,0,0,0,0.73,5.67
 36-46,1.3,0,0,0,0,0,0,0,10.9,0,1.66,0,2.83,0
 48-58,1.22,0,0,0,0,0.37,1.53,0,5.29,0,0,0,2.12,0
 60-70,10.37,0.8,0,0,0,0,0.65,0.6,6.62,0,0.58,0,0,0
 72-82,4.24,0,0,0,0,0,0,0,3.53,0,0,0,0,0
 84-94,5.56,0,0,0,0,0,0,0,1.87,0,0,0,0,0
 96-106,11.4,0,3.65,0.93,0,0,0,0.71,18.13,0,0,0,0,0
108-118,0,0,0,0.88,0,0,0,0,3.01,0,0.45,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0
