stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,49.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0,0,0
  5-6,7.84,47.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,18.58,8.44,0,0,6.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,369.84,1.44,0,0,0,0,1.4,8.74,0,0,12.94,0,0,1.8,0,0
 24-34,0,0,4.29,3.91,0.95,0,5.82,2.18,0,0,0,0,0,0.62,0,0,0,3.5,0,0,2.7,0,0,7.63,224,72.23,17.15,0,0,0,27.15,0,0,0,6.85,64.39,0,0,5.2,0,0
 36-46,0,0,0,2.41,3.42,0,24.72,40.29,1.05,0,3.2,0,0,0,0,0,0,0.72,0,0,2.86,0,0,5.06,812.37,42.07,30,0,0,0,26.25,0,0,0,13.25,148.44,0,0,13.05,0,1.05
 48-58,0,0,0,7.86,0,0,116.22,19.88,3.32,0.86,12.69,0,2.21,0,0,0,0,3.89,0,1.59,9.82,0,0,2.09,1086.8,29.12,9.92,5.87,0,0,0.46,0,0,0,9.52,188.15,0,0,5.32,0,0
 60-70,0,0,0,6.14,0.59,0,233.43,17.18,1.15,0,15.91,3.31,0,5.68,0.81,0,1.29,1.02,0.81,2.19,25.15,0,0,6.35,1373.79,27.78,16.05,0.72,0,0,5.39,0,0,0,2.93,203.44,0,2.56,13.28,0,0
 72-82,0,0,0.71,1.37,0,0,215.08,18.39,0,3.56,11.33,3.39,0,9.93,3.12,0,0.71,7.02,0,0,71.9,0.95,0,6.34,970.51,14.71,17.5,0,0,0,3.5,0,0,0,6.13,98.01,0.8,0,38.46,0,0
 84-94,0,0,0,12.81,3.88,0,201.38,21.59,1.53,2.32,20.67,14.78,0,8.08,0,1.17,3.06,8.22,0,6.14,69.03,0,0,5.42,688.82,19.9,6.71,2.27,0,0,3.24,0,0,2.8,3.36,96,0.72,0.88,36.96,0,0
 96-106,0,0,3.36,21.6,10.12,0,134.36,32.69,0.91,4.38,29.62,25.26,0,6.58,0.93,0,0.87,11.58,0,0,102.51,1.5,0,23.52,557.73,23.57,24.13,4.72,0,4.36,18.24,0,0,0,6.36,34.53,7.55,1.93,50.36,0.62,3.79
108-118,0.67,0,0,35.85,0,1,166.46,27.87,0.48,11.95,39.4,46.06,0,2.75,0.56,0.73,2.13,6.97,0,11.47,129.4,0,4.08,19.44,804.03,38.01,25.01,7.5,0,0,11.44,0,0,0,9.86,48.41,8.85,0.9,50.1,0,0
120,0,0,0,56.23,0,0,121.68,69.68,5.93,0,74.42,39.02,0,13.12,0,4.98,0,3.84,0,4.02,143.49,0,0,12.46,1093.35,137.75,16.92,0,0,0,7.01,0,0,0,11.59,43.32,7.2,0,108.27,3.15,0
