stage,eye,fin.epithelia,fin.mesenchyme,gut,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0.81,1.39,0
 24-34,0,0,0,0,0,0,1.05,0,0,0,0
 36-46,0.67,0,0,0,0,0,0.56,0,0,0,0
 48-58,6.32,0,0,0,1.67,0,0,0,0,0,0
 60-70,8.27,0,0,0.57,2.1,0,0,4.15,0,0,0
 72-82,27.59,0,0,0,4.85,0,0,9.62,0,0,0
 84-94,29.53,0,0,0,0.68,3.74,0,6.55,1.69,0,0
 96-106,56.06,0,0.99,0,5.1,0,0,2.82,0,0,0
108-118,113.78,0,0,0,6.34,0,0,8.14,0,0,1.11
120,16.47,1.55,0,0,12.09,0,0,8.83,0,0,0
