stage,eye,glial,mesenchyme,neural,otic,somites,spinal_cord,visceral_smooth_muscle
 14-21,0,0,0,0,1.02,0.89,0,0
 24-34,0,0,0,2.96,0,0,0,0
 36-46,0,0.58,0,3.19,0,0,2.13,0
 48-58,0,0.72,0,7.63,0,0,1,0
 60-70,0,0,0,3.6,0,0,0,0
 72-82,0,0,0,0.83,0,0,0,0
 84-94,0,0,0,2.66,0,0,0,0
 96-106,0,0,0,0.78,1,0,0,0
108-118,1.65,0,1.23,1.29,1.04,0,0,0
120,0,0,0,6.33,0,0,0,3.36
