stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,mesenchyme,neural,periderm,vasculature,visceral_smooth_muscle
  3-4,10.89,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,0,0.6,0,0
 48-58,0,0,0,0,0,0,0,0,4.35,1.34,0,0,0
 60-70,0,0.68,0,0,0,0,0,0,0,9.59,0,0,0
 72-82,0,1.17,4.19,0,0,0,0,0.98,0,0,0,0.67,0
 84-94,0,0,0,0,0,0,0.69,0,0,0,0,0,0
 96-106,0,10.19,0,1.01,0.94,0,0.91,0.99,1.44,3.25,0.57,0,0
108-118,0,6.4,0,0,0,1.61,1.16,0.84,0,3.88,0,1.06,0
120,0,13.07,0,0,0,0,0,0,0,0,0,0,1.05
