stage,blastomeres,epidermis,eye,fin.epithelia,glial,ionocyte,neural,olfactory,otic,paraxial.mesoderm,periderm,taste
  5-6,28.01,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,28.04,0,0,13.03,0,0
 10-12,0,0,0,0,0,0,7.9,0,0,0,0,0
 14-21,0,1.08,1.27,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.13,0,0,0,0,0
 48-58,0,0,0.55,0,1.43,0,1.94,0,0,0,0,0
 60-70,0,0,4.93,0,0,0,6.1,0,0,0,4.35,0
 72-82,0,0,0.71,0,0,0.65,10.88,0,0,0,0,0
 84-94,0,0,3.84,1.62,0,0,0,0.56,0,0,0,0
 96-106,0,0,0,0,0.72,0,0,0,0,0,0,1.86
108-118,0,0,2.68,0,0,0,3.18,0,1.78,0,0,0
120,0,0,4.44,0,0,0,8.9,0,0,0,3.08,0
