stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,0,155.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,86.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.71,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,52.01,0,0,0,4.4,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.78,0,0,0,0,0,0,0,0,0,0,38.3,0,0,0,7.45,0,0,0,0,0
 14-21,0,0,0,0,0,3.67,0,0,0,0,3.33,0,0,0,0.83,0,1.14,14.04,0,0,0,0.84,0,1.18,1.86,6.81,2.39
 24-34,0,0,0,0,1.18,1.44,9.63,0,0,0.92,0,0.67,0,0,4.59,0,0.69,109.54,0.7,1.06,1.68,0,0,0,0,17.42,17.15
 36-46,0,0,0,0,0,0,20.96,0,0,9.09,0,0,0,0,5.51,0,0.72,92.86,0,0,0,0,0,2.03,0,34.01,3
 48-58,0,0,0,0,3.85,0,50.56,0,0,38.42,0,0,0,0.4,16.05,0,5.87,228.93,0,0,0,0,0,4.96,0,23.89,25.02
 60-70,0,0,0,0,1.59,0,25.97,1.4,0,22.5,0,0,0,0,4.83,0,0,173.78,0,0,0,0,0,0,0,13.11,2.13
 72-82,0,0,0,0,0.94,0,43.71,0,0,14.86,0,0.65,0.66,0,6.37,0,3.06,37.9,0,0.79,0,0,0,0,0,6.37,5.27
 84-94,0,0,0,0,0,0,32.61,0,0.99,9.06,0,0.89,0,0.73,10.63,0,1.15,51.63,0,0,0,0,0,0,0,4.94,8.26
 96-106,0,0,0.81,0,6.45,0,14.95,0,0,5.69,1.9,0,0,0.71,3.42,0,0,23.43,0,0.89,0,0,0,0.93,0,0,4.52
108-118,0,0,0,0,5.35,0,20.23,0,1.31,6.95,0,1.33,1.47,1.74,17.09,2.58,1.32,32.85,0,0.55,0.47,0,2.26,0,0,0,2.39
120,0,0,0,0,0,1.32,33.76,0,0,0,0,0,0,1.79,4.22,0,1.25,51.61,0,1.09,0,0,0,0,0,0,0
