stage,axial,blastomeres,epidermis,eye,glial,gut,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature
  3-4,33.84,1237.34,0,0,0,0,0,0,0,0,0,0,0,72.33,0,0,0,0,0
  5-6,20.61,220.41,0,0,0,0,0,0,0,16.57,0,0,0,8.08,0,0,0,0,0
  7-9,0,0,0,11.27,0,0,0,0,0,47.42,0,0,28.41,0,5.26,0,0,0,0
 10-12,0,4.25,0,0,0,0,0,0,0,13.11,0,0,16.92,0,13.02,0,0,0,0
 14-21,0,0,0,0,1.25,0,0,0,1.35,3.21,0,0,0,0,0.99,0,0.91,3.48,0
 24-34,0,0,0.77,0.93,0,0,0,1.36,0,5.01,0,0,0,0,0,0,0,4.89,0
 36-46,0,0,0,0.63,0,0,0.59,0.75,0,8.86,2.77,0,0,0,0,0,0,0,2.68
 48-58,0,0,0,0.9,0.45,0,0,0.43,0,0.96,0,0,0,0,0,0.47,0,0,0
 60-70,0,0,0,0.86,0,0,0,4.02,0,2.17,0,0,0,0,0,0,0,1,0
 72-82,0,0,0,0,0,0,0,0,0,0.71,1.82,0,0,0,0,0,0,1.54,0
 84-94,0,0,0,1.21,1.15,0,0,0.81,0,0,2.89,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,3.84,0,1.9,0,0.77,0,0,0,0,0,0,0
108-118,0,0,0,0,0,4.75,0,0.93,0,5.43,0,0.74,0,0,0,0,0,0,0
120,0,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
