stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,35.22,807.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.38,0,0,0,0,0,0,0,0,0,0
  5-6,16.38,592.59,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,14.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.16,17.88,0,0,0,0,21.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.69,11.17,0,0,63.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.58,16.5,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,275.38,0,0,0,54.5,0,0,6.56,0,3.14,0,0,0,0,0,0,0
 14-21,0,0,0,1.93,1.68,0,2.76,0,0,0,0.84,0,0,0,0,0,0,0,0,0,5.18,0,0,3.54,41.92,0.94,0,2,0,0,6.72,0,2.05,0,0,6.13,3.54,0,0,0,0
 24-34,0,0,1.87,3.85,0.95,0,12.72,0,1.66,0,0.9,0,0,0,0,4.24,0,0,1.51,0,8.83,0,0,4.59,79.05,1.51,0.77,2.72,0,0,15.52,0,0,2.48,1.04,0,15.84,0,0,5.18,0
 36-46,0,0,0,2.22,0,0,18.97,5.7,0,0.6,0.62,0,0,0,1.53,0,0,0.79,0.57,0,9.74,0.95,0.96,3.64,86.27,0,0,2.05,0,0,40.46,0,0,0.88,5.77,0,8.75,0,0,0.87,7.01
 48-58,0,0,0,1.63,0,0,38.86,0.67,0,7.41,6.33,0.43,0,0.63,1.69,0,3.54,0,0,0.54,19.97,0,0.4,5.18,93.97,0.65,0.73,1.32,0,0,17.46,0,0,0,1.19,0,22.59,0,0,11.26,3.55
 60-70,0,0,0,1.71,0,0,140.58,1.41,0.69,0,8.98,0.62,0,0,0.6,0,0.79,0,1.35,0,47.52,0,0,2.74,88.85,0,7.72,3.85,0,0,14.42,0,0,2.57,0,0,14.96,0,0,1.64,0
 72-82,0,0,0,3.33,0,0,95.88,0.49,0,1.23,9.38,8.98,0,0.86,5.14,0.61,8.35,0,0.55,5.13,33.69,0,4.65,3.55,58.74,1,2.79,0.91,0,0,10.17,0,0,0,0,0,6.72,0,0.49,7.93,6.37
 84-94,0,0,0,16.66,0.56,2.78,99.5,0,0,0,2.92,3.71,0,0,6.47,3.76,0.67,0.61,5.38,1.53,24.77,7.08,2.55,0,40.32,0,0.9,1.19,0,0,39.98,0,0,1.17,0,0,3.86,0.55,0,2.12,0.55
 96-106,0,0,0,2.76,0,0,60.29,0,1.15,0,7.06,2.63,0,0,0.87,0.6,0,0.63,1.54,0,27.79,0.69,1.69,0.58,50.05,0,4,0.77,0,0,31.98,0,0,0,1.22,0,0.58,0.8,0,4.23,10.43
108-118,0,0,0,9.16,0.75,9.95,62.54,0,2.63,0,6.44,4.37,0,0,0.98,1.95,0.9,0,3.15,0,10.7,4.21,0,5.06,40.03,0.47,3.35,0.57,0,0.76,24.54,0,0,0,0.86,0,0,0,0,3.19,0.55
120,0,0,0,17.05,2.33,0,90.4,0,1.16,0,11.28,2.7,0,0,4.61,0,3.65,1.77,6.36,0,22.53,0,0,6.18,34.39,0,1.46,0,0,0,18.49,0,0,0,1.22,0,0,0,0,1.59,0
