stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature
  3-4,43.81,632.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.33,0,0,0,0,0,0
  5-6,35.08,592.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16,0,0,0,0,29.36,0,0,0,0,0,0
  7-9,19.83,43.76,0,27.38,0,0,0,59.5,0,0,0,0,0,18.44,0,0,0,0,0,0,0,554.21,12.59,0,0,162.16,3.53,0,0,0,0,0,0
 10-12,0,5.3,0,23.9,0,14.23,0,22.04,0,0,0,0,0,18.13,0,0,0,0,0,0,0,384.94,7.65,0,0,74.95,0,5.62,0,5.05,0,0,0
 14-21,0,0,0,0,23.54,0,0,2.26,0,0,0,1.09,0,0,0,0,0,0,0,0,3.12,7.52,0,0,1.78,0,1.51,0,1.95,2.66,2.96,0,0
 24-34,0,0,0.66,1.29,4.02,1.68,0,3.25,0,0.82,0,0.9,0,0,1.31,0,3.2,0,3.71,0,0,25.19,0,4.75,3.54,0,7.83,0,0.94,0,0,0,0.7
 36-46,0,0,0,0,3.41,1.06,0,2.42,0,8.54,0,0,1.33,0,0,0,0,16.61,5.47,0,0,22.63,0,1.47,0.59,0,20.15,0,0,0,5.34,0,0
 48-58,0,0,0,0,18.58,2.21,0,14.28,0,4.87,0,4.51,0,0,0,6.3,2.92,0,1.26,0,0,25.84,0,1.68,0.7,0,10.87,0,0,0,6.93,0,0
 60-70,0,0,0,0,13.36,2.02,0,11.86,0,6.32,0,0,0.75,0,1.4,0,3.36,0,0.62,0,0,15.02,0,1.08,1.72,0,4.47,0,0,0,0,0,0
 72-82,0,0,0.69,0,6.23,1.59,0,11.85,0,3.52,0,2.19,0.51,0,0.54,0,0.94,0,0,0,1.53,6.61,0,5.08,0,0,5.33,0,0.66,0,0,0,0
 84-94,0,0,0,0,7.24,0,0.92,8.8,0,0,0.75,0,0.96,0,0.72,0,1.26,0,3.75,0.86,0,5.2,0,0,3.49,0,12.45,0,0,0,0,0,0
 96-106,0,0,0,0,4.25,5.03,0,0,0,1.04,0,4.18,0.8,0,0,0,0.59,0,0.9,1.01,0,0,0,0,0,0,20.25,0,0,0,0,0,0
108-118,0,0,1.18,0,15.18,1.84,0.56,8.59,0,1.96,0,1.91,4.72,0,0,0,0.47,0,0,3.65,1.5,16.97,0,2.73,2.06,0,7.44,0,0.45,0,0,0,0
120,0,0,0,0,25.29,0,0,0,6.39,0,0,9.62,4.78,0,3.78,0,0,0,0,0,0,0,0,3.57,6.31,0,15.56,0,1.12,0,0,3.81,0
