stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.89,61.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,95.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.95,0,3.38,0,0,0,0,0,0,0,46.86,0,0,18.96,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.71,0,3.67,0,0,0,0,0,0,0,31.71,0,0,27.52,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.47,43.7,1.62,0,0,3.65,0,0,6.81,10.22,14.95,1,0,0.94,6.81,16.2,0,3.93,16.92,0,0,0,0
 24-34,0,0,0,6.67,4.47,0,0.7,0,0,0,1.91,6.17,14.04,0,0,0,5.11,0,0,0.62,4.15,0,0.67,0,0
 36-46,0,0,0,12.29,0.62,1.34,1.24,0,0,8.78,0.75,1.95,11.34,0,0,0,6.36,0,0,0,1.33,0,0,0,1.2
 48-58,0,0,0,0,1.3,0,1.08,0,0,0,1.21,0,7.19,0,0,0,1.69,0,0,0,1.54,0,1.33,0,0
 60-70,0,0,0,0,4.44,0,0,0,0,0,5.26,0,0.64,0,0.58,0,1.49,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.09,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0.63,0,0,0
 96-106,0,0,0,0,1.97,0,3.04,0,0,0,0,1.08,9.86,0,0,0,0,0,0,0,0,0,1.8,0.65,0
108-118,0,0,0,0,3.12,0,1.73,0,0,0,0.56,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
