stage,blastomeres,epidermis,eye,glial,heart,iridophores,muscle,neural,notochord,paraxial.mesoderm,spinal.cord
  3-4,45.86,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,9.55,0,3.86,0
 10-12,0,0,0,0,0,0,0,0,12.99,0,0
 14-21,0,0,0,0,0,0,0,0,3.2,0,0
 24-34,0,0,0,0,1.24,0,0,2.47,1.11,0,5.33
 36-46,0,0,0,0,0,0,0,1.6,0,0,2.53
 48-58,0,0,0.74,0,0,0,0,5.49,0,0,2.17
 60-70,0,1.15,0,0,0,0,0.83,19.42,0,0,9.15
 72-82,0,0,0,0,0,0,0,24.77,0,0,5.61
 84-94,0,0,0,0,0,4.3,0,9.48,0,0,6.3
 96-106,0,0,0,2.5,0,0.75,0,29.16,0,0,1.14
108-118,0,0,0.57,0,0,0.69,0,33.69,0,0,1.98
120,0,3.24,0,0,0,0,0,13.3,0,0,19.9
