stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,48.86,575.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.95,0,0,0,0,0,0,0,0,0
  5-6,12.96,385.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.2,0,0,0,0,0,62.94,0,0,0,0,0,0,0,0,0
  7-9,6.46,15.54,0,271.02,0,0,0,6.46,0,0,0,0,0,14.91,0,0,0,0,0,0,0,0,0,0,368.02,4.58,0,0,80.5,0,13.3,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,160.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.1,20.47,0,0,67.64,0,0,14.27,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.7,21.09,1.36,0,0,0,4.94,0,0,2.45,0,0,0,0,0,0,0,3.62,0,0,1.98,5.65,6.53,0,0,2.17,0,2.49,1,0,0.95,4.77,0,0,1.14,0,0
 24-34,0,0,0,1.41,1.37,0,0,0.68,0,5.69,0,0,0,0,0.67,0,0,0,89.17,0,3.39,0,0,0,3.56,0,0,30.12,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.21,0,0,2.94,0,1.64,0,4.82,0,0,0,0,0,0,116.79,0,0.76,0,0,0.77,8.38,0,0,51.79,0,0,0,0,0,0,1.93,0,0,0,0,0
 48-58,0,0,0,0,8.5,0,0,11.97,0.57,0,0,2.35,0,0,0,0,0,0,477.29,0,4.04,0,0,1.4,38.8,0,0,66.46,0,0,0,0,0,0,7.04,0,0,0,0,5.89
 60-70,0,0,0,0,3.67,0,0,43.89,0,0,0.98,1.28,0,0,0,0,0,0,2171.11,0,10.62,0,0,0.73,56.53,0,0,137.5,0,0,15.78,0,0,0,1.87,0.92,0,0.58,0,15.48
 72-82,0,0,0.93,0,11.87,4.08,0,109.7,0.59,0.58,11.59,18.86,11.79,0,5.18,0.63,0.53,0.57,3144.39,1.61,56.3,1.59,0,3.76,351.49,1.42,6.72,38.18,0,4.65,14.87,0.76,0,0,9.98,9.79,0,13.51,3.22,15.29
 84-94,0,0,0,0,4.25,27.38,0.92,108.97,0,0.57,0,32.13,1.93,0,0,1.42,0.6,1.67,5369.03,2.3,27.91,0.76,6.62,6.75,146.37,0,0,67.87,0,0,28.82,0.67,0,0,16.55,32.64,0,2.37,0,16.81
 96-106,0,0,1.07,1.03,77.47,131.57,37.82,303.11,3.82,5.63,8.07,83.99,21.03,0,1.69,9.76,26.41,7.62,12941.41,12.89,128.4,10.33,7.89,14.84,438.62,2.8,7.13,202.42,0,1.05,60.63,0,6.18,0,4.52,71.16,1.24,36.32,3.92,25.52
108-118,0,0,0,0,39.2,34.2,6.87,227.98,4.38,4.76,0,55.93,2.97,0,0,5.5,37.29,0.44,10110.6,18.73,104.5,0,11.66,7.63,352.83,1.66,0.97,33.71,0,6.13,44.51,1.69,0.49,0,13.22,142.82,1.42,18.69,6.58,5.45
120,0,0,0,0,43.06,17.57,0,131.34,3.89,4.57,0,41.19,8.12,0,0,7.55,1.72,12.11,5750.54,18.03,46.66,0,2.61,2.8,320.61,0,0,60.09,0,0,27.01,0,1.37,0,14.54,90.86,8.19,17.45,4.27,3.85
