stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,ionocyte,liver,mesenchyme,mucous,neural,otic,periderm,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0
  5-6,22.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0
 14-21,0,0.93,0,0,0,0,0,0,0,0,0,0,0,15.11,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.58,0,28.54,0
 36-46,0,0,0,0,0,0,0,2.47,0,0,0,2.02,0,40.94,0
 48-58,0,0,0,0.71,0,0,0,0,0,0,0,0,0,34.29,0
 60-70,0,0,6.02,0,0,5.14,0,0,0,0,0,0,0,23.74,0
 72-82,0,0,1.23,0,0,6.46,0.57,0,0,0,0,1.22,0,23.05,0
 84-94,0,0,5.77,0,0,17.66,0.61,0,0,1.55,0.89,0,0,47.73,0
 96-106,0,0,6,0,0,15.4,1.52,0.83,0,0,0,0,0.64,58.45,1.41
108-118,0,0,2.78,0,1.33,6.61,0.42,0,0,0,0.91,0,0,12.6,0
120,0,0,9.01,0,0,8.34,0,0,13.95,0,0,12.18,0,24.98,0
