stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,237.18,3499.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.5,0,0,0,0,0,0,0,0,0,0,0
  5-6,112.84,1385.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.68,0,0,0,6.24,0,28.31,0,0,0,0,0,0,0,0,0,0,0
  7-9,35.91,21.15,0,71.8,0,0,0,50.23,0,0,0,0,45.06,0,0,0,0,0,0,0,0,0,0,730.12,74.75,0,0,305.65,0,3.78,20.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,54.33,0,39.98,0,0,0,21.8,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,527.85,22.48,0,0,363.61,0,0,4.37,0,35.31,0,0,0,0,0,0,0,0
 14-21,0,0,1.41,2.06,45.44,4.52,0,23,0,0,10.3,1.9,0,0,0,0,0,0,0,22.7,0,0,6.84,228.11,0,3.36,0,2.58,0,0,0,24.68,0,2.52,18.59,53.05,0,0,1.16,0,0
 24-34,0,0,0,0.86,7.46,0,0,39.91,0.85,0.62,8.51,0.66,0,0,0,0.62,0,0,0.79,38.93,0.66,0,20.86,315.38,1.58,10.25,5.05,0,0,4.87,0,0,2.2,0.69,6.99,82.21,0,0,5.69,0,0.79
 36-46,0,0,0,0,2.06,0,0,47.83,0,0.62,12.42,1.58,0,0,2.19,0,0,0.62,0,21.04,1.24,1.26,5.47,172.5,0,1.99,0.61,0,0,24.39,0,0,0,1.56,2.04,50.57,0,0,13.36,0,0
 48-58,0,0,0,0,8.39,0,0,67.68,0,1.24,16.89,0,0,1.59,0,0,0,2.54,1.04,32.5,0,0.4,4.49,119.47,0,1.31,4.44,0,0,0,0,0,0,0,0,23.87,0,0,1.18,0,0.94
 60-70,0,0,0,0,3.81,0.97,0,93.61,0,0,21.81,0,0,0,1.12,0,0,0,13.12,13.97,0,0.59,1.4,76.66,0,2.71,6.02,0,0,10.77,0,0,0,0,0,18.94,0,0.71,0,0,7.93
 72-82,0,0,0.64,0,2.24,0,0,50.57,0,0,14.82,0,0,0,0.58,0.52,0,0.61,0,30,0,0.49,2.78,52.03,0,0.56,5.22,0,0,0,0,0,0,0,0,10.01,0.94,0,2.99,0,0
 84-94,0,0,3.88,0,1.25,0.66,0,42.81,0.63,1.3,10.46,1.29,0,0,0,1.33,0.62,0.6,0,25.41,2.4,0.61,5.28,52.46,0.66,0,1.05,0,0,2.95,0,0,0,0,0,7.26,1.8,5.39,3.83,0,0.61
 96-106,0,0,0,0,1.45,0,0,47.7,0,0,9.98,2.78,0,0.71,0.58,1.54,0,3.8,0,19.27,0,0.59,4.66,40.39,0,1.25,0.79,0,0,10.18,0,0,0,0,0,0,1.28,0,5.58,1,0
108-118,0,0,0,0,12.37,2.35,0.82,42.15,0,0.94,17.98,2.96,0,0,1.64,2.48,0,0,0,18.6,0.53,0,7.83,88.86,0,9.12,2.45,0,1.76,5.04,0,0,0,0.44,0,4.05,0.44,0,0.5,2.22,0
120,0,0,0,0,0,3.31,0,25.19,1.23,0,45.26,2.94,0,0,0,0,0,0,3.69,10.83,0,0,6.23,132.49,0,7.74,0,0,0,4.3,0,0,0,0,0,7.49,0,0,5.44,1.43,0
