stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,2.54,0
 24-34,1.36,0,0,0,0,0,0,0,0,0,0,12.31,0,0,0,0,1.95,1.07
 36-46,0,0,1.35,0,8.53,0,0,0,3.28,0,0,120,0,0.58,0,0,28.26,1.63
 48-58,0,0,6.04,0,16.71,0,0,0,2.93,0,0,128.74,0,0.42,0,0,32.1,0
 60-70,0,0,1.78,0,9.73,0,0,1.52,4.71,0,0,53.99,0,0,0,0,13.24,0
 72-82,0,0,0.81,0,9.61,0,0,0,5.87,1.98,0,37.4,0,0,0,0.58,21.85,0.72
 84-94,0,0,1.66,0.58,14.19,0.94,0,0,16.55,0,0.77,16.59,0,0,0,0,3.85,2.67
 96-106,1.85,9.08,4.99,0,1.58,0,1.05,0,11.59,0,0.9,26.87,0.57,0.93,0,0,1.41,4.52
108-118,0.44,0,9.27,0.66,1.62,0,0,0.74,14.65,0,0,24.28,0,0,0,0,2.8,0
120,0,0,8.14,0,8.27,0,0,0,7.53,0,0,51.92,0,0,0,0,10.44,0
