stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,275.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.67,413.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.46,0,0,0,0,0,0
  7-9,0,16.65,0,11.06,0,0,29.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.32,0,17.62,0,0,0,0,0,0,0
 10-12,0,0,0,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.89,0,0,0,0,0,0,0,0,0
 14-21,3.7,0,0,4.82,372.46,0,0,0,0,0,0,0,1.07,0,53.94,0,0,0,0,0,8.59,0,1.19,36.87,0,0,13.8,0,0,0,0,0,0
 24-34,0,0,0,0,50.45,0,0.76,3.13,0,0,0.63,11,0.8,1.2,71.16,0,1.18,5.54,0,2.8,85.35,0,0.66,258.32,1.81,0,92.14,0.79,0,0,5.08,0,0
 36-46,0,0,0,0,30.41,0,0,1.04,0,2.43,0.86,12.88,0,0,17.88,0,0,0,0,1.81,30.58,0,0,594.73,0,0,112.3,0,3.77,0,0,0,0
 48-58,0,0,0,0,51.06,0,9.74,0.47,0,2.51,1.41,20.45,0,0,33.13,0,0,0,0,3.54,55.22,0,0,329.34,0.73,0,48.36,0,2.98,0,0,0,3.01
 60-70,0,0,0,0,40.28,0,3.24,1.49,0,1.27,6.84,12.68,0,2.15,2.51,0,0,0,0,1.21,56.4,0,0.67,229.06,0,0,48.32,0,5.23,58.63,0,0,0
 72-82,0,0,0,0,99.14,0,23.95,4.93,0.59,16.97,12.33,8.03,0,5.97,9.25,0,0.67,6.63,0.5,8.22,62.04,2.22,0.92,203.36,7.6,0,62.73,0,0,266.17,0.72,0,0
 84-94,0,0,0.88,0,159.32,6.78,28.26,5.89,1.5,3.09,19.95,20.41,0,7.54,12.54,0.65,3.48,0,2.28,0.79,88.59,1.17,0,218.89,5.14,0,183.62,0,0,552.03,0,0.7,0
 96-106,0,0,1.2,0,216.63,0,16.97,2.29,0,5.65,36.99,3.44,3.87,21.46,10.09,0,0.77,25.79,0.68,7.11,107.43,0,2.84,124.92,2.7,0,139.29,0,4.22,525.52,0,0,0
108-118,0,0,0,0,220.02,5.21,14,3.36,2.11,6.46,30.06,2.74,0.83,25.16,15.47,0,0,1.1,0.5,4.85,87.64,2.11,0,163.49,0,0,132.05,0.6,4.13,429.74,0,0,0
120,0,0,0,0,98.66,0,3.3,4.64,0,0,25.08,0,2.27,7.53,8.36,0,2.87,3.55,0,11.66,28.79,2.75,0,72.32,0,0,81.69,0,0,211.87,0,0,0
