stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,24.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.67,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.25,0,0,4.76,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,4.95,0,0,0,6.99,0,0,0,0,0,0,0
 10-12,0,0,0,0,8.02,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.54,0,0,0,27.29,0,11.67,0,0,0,0,0
 14-21,0,0,0,1.61,5.13,0.81,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,14.12,0,1.02,0,0,0,0,0,0,5.1,0,0
 24-34,0,0,0,1.46,0,3.35,0,0,0,0,0,0,2.22,0,0,0,1.62,0,0,1.5,32.53,0,0,0,0,2.67,0,0,0.59,7.79,0.66,0
 36-46,0,0,0,0.65,0,4.67,0,0,0.99,0,0,0,0,0,0,0,6.19,0,0,0,18.7,0.67,0,0,0,0,0.72,0,0,2.3,0,0
 48-58,0,0,0,0,0,3.75,0,0,2.45,0,0,0,0,0,0,0.62,2.91,0,0,0,8.19,0,0,0,0,1.58,0,3.14,0,2.28,0,8.14
 60-70,0,0,0,0,0,4.91,0.76,0,13.09,0,0,0,0,0,0,0,5.37,0,1.33,0,31.38,0,0,0,0,0,0,0,0,0,0.88,0
 72-82,0,0,0,0.55,0,4.68,0,1.16,3.04,0,0,0,0,0,0,0,3.08,0,2.13,1.93,6.2,0,1.18,0,0,0.57,0,0,0,4.77,4.2,0
 84-94,0,1.23,0,0.82,3.42,3.9,0,0,2.42,0,0,0,0,0,0,0,5.92,1.01,0,0,8.34,0,1.89,0.7,0,3.88,0,0,0,0,0,0
 96-106,0,0,0,1.63,0,12.41,0,0,3.13,0,0,0,0,0,0,0,2.58,0,0,0,14.67,0,0,0,0,13.26,0,0,0,0,4.01,0
108-118,0,0,0,0.49,0.53,16.15,0,0.94,3.95,0.55,0,0,0.94,1.8,1.74,0,2.06,1.44,0,0,12.6,0,0,0,0,1.1,0,0,0,0,0.89,5.35
120,0,0,0,14.63,0,5.78,0,0,13.32,0,0,3.06,0,0,3.69,1.55,8.47,0,0,12.77,29.6,0,1.11,0,0,1.83,0,0,0,0,4.69,0
