stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.78,131.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0
  5-6,21.71,199.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.56,0,0,0,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.58,7.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.97,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,21.12,19.48,0,29.56,0,4.33,0,0,22.9,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,12.41,0,0,12.22,0,0,0,0,0,0,5.11,0,14.99,24.23,1.89,1.04,0,0,0,1.07,218.98,207,1.99,0,1.25,0,0
 24-34,0,0,0,0,0,0,0,14.66,0,0,0.8,0,0,10.12,0,1.41,0,0,3.75,0.98,3.74,0,30.2,20.56,0,1.21,0,0,3.35,0,73.55,91.68,13.3,0,3.82,0,0
 36-46,0,0,0,0.69,0,0,2.88,74.98,0,0,3.85,0,0,5.25,0,0,0,0,0,0,1.62,8,15.89,42.35,0.6,13.47,0,0,9.22,0,26.33,3.23,3.04,0,3.72,0,0
 48-58,0,0,0,0.63,0,0,10.65,30.32,0,1.01,0,0,0,7.29,0,0,0,0,0,0,3.71,0,15.36,74.23,0,1.18,0,0,1.3,0,15.84,0,7.55,0,0,0,7.38
 60-70,0,0,0,0,0,0,23.7,37.06,0,0,13.82,0,0,0,0,0,0,1.87,0,0,5.99,0,17.85,51.98,0,1.17,0,0.63,1.18,0,16.51,0,1.91,0,0,0,0
 72-82,0,0,0,0.6,0,0,21.07,14.61,0.91,0,0,1.1,0,0,0,0,0,1.56,0,4.19,18.28,0,4.7,21.61,0,2.14,0,0,3.58,0,11.95,0,0,0,1.02,0,3.01
 84-94,0,0,1.04,0,2.38,0,9.19,25.64,0,0,0,0,0,0,6.47,0,0,0,0,0.83,1.95,0,5.22,24.88,0,2.99,0,0,0.55,0,8.38,0,0,0,0,2.16,0
 96-106,0,0,0,1.38,5.01,0,13.3,27.42,0.58,1.45,1.88,1.28,0,0,1.43,0.85,2.7,0,0,0,16.7,0,6.92,33.6,1.34,2,0,0,0.7,0,8.7,0,2.16,2.83,4.53,0,0
108-118,0,0,0,0.62,1.04,1.17,6.22,47.59,0,0,0.92,0.66,0,0,0,0,0,0,0,3.15,6.75,0,23.82,17.98,1.61,3.19,0,0,1.16,0,7.19,0,2.15,0,1.21,0,0
120,0,0,0,0,1.56,0,0,41.88,0,0,0,0,0,0,0,0,0,0,0,0,17.76,0,9.91,38.51,0,0,0,0,1.12,0,3.87,0,0,0,2.19,0,0
