stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,34.31,579.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.02,0,0,0,0,0,0,0,0
  5-6,30.45,1142.44,0,0,0,0,0,0,0,0,0,0,0,0,0,29.58,0,0,0,0,42.45,0,0,0,0,0,0,0,0
  7-9,10.41,64.53,0,60.8,0,0,221.37,0,0,0,46.92,0,0,0,0,1673.5,13.22,0,0,486.39,4.34,0,0,0,0,0,0,0,0
 10-12,0,3.88,0,63.72,0,6.65,134.03,0,0,0,0,0,0,0,0,595.45,8.79,0,0,241.09,0,5.33,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.08,0.81,2.92,0,6.15,0,0,0,0,4.85,3.03,28.27,1.02,0,0,0.81,3.4,0,4.87,0,0.81,5.15,0,0,0
 24-34,0,0,0,0,3.77,0,5.54,0.89,0,0,0,0,0.68,3.06,5.69,27.23,0,0.71,0,0,1.61,0,0,0,0,3.52,0.85,0,1.48
 36-46,0,0,0,0,0.73,0,3.91,0,1,0,0,0,0,0.78,0,40.63,0,2.54,0,0,1.45,0,0,0,0,2.16,0,0,0
 48-58,0,0,0,0,0.39,0,6.35,1.62,0,0,0,0,0,4.66,0,11.45,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,3.76,0,0,0,0,6.07,0,13.66,0,0,0,0,0,0,0,0,0,0,0,0.73,0
 72-82,0,0,0.58,0,0,0,2.08,1.66,0,0,0,0,0.91,11.6,1.71,5.94,0,0,0,0,0,0,0,0,0,2.24,1.02,0,0
 84-94,0,0,0,0,0,0,0.83,0,0,0.96,0,0,0,7.58,0,5.06,0,0,0,0,3.35,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.71,0.78,0,1.05,0,6.15,0.97,0,0,0,0,0,0.9,0,0,0.67,0,0,0,0,0
108-118,0,0,0,0,0,0,0.71,0,0,0,0,0,0,8.69,0.55,0,0,0,4.08,0,1.05,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,9.49,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0
