stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,16.21,111.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.03,59.26,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.29,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.55,0,0,27.28,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.73,0,2.45,0,0,0,0,0,0,1.15,0,7.94,0,0,0,0,0,1.12,0.86,0,0.85,3.05,0,0,0,0
 24-34,0,0,0,0,0,0,6.35,0,0,0,0,0,0,2.05,0,43.01,0,0,0,0,0,0,0,0,1.44,18.87,0,0,0,4.46
 36-46,0,0,1.35,0,1.44,0,15.74,0,0,0,0,0,0,0.6,1.36,62.35,0,0,0,0,0,0,0,0,0,25.61,0,0,0,0
 48-58,0,0,0,0,3.14,0,258.49,0,0,5.45,0,0,0,9.58,1.47,89.61,0,0,0,0,2.76,0,0,0,0,15.03,0,0,0,0
 60-70,0,0,0,0,0,0,797.13,0,0,6.68,0,0,0,0.87,1.14,154.04,0,5.4,0,0,0,0,0,0,0,9.78,0,0,0,0
 72-82,0,0,0,0,3.06,0.6,668.76,0,0,14.31,0,0,1.65,4.15,0,216.77,0,0.71,0,0,7.8,0,0,0,0,16.32,0,0.52,0,0
 84-94,0,0,0,0,3.59,0,904.17,0,0,4.69,0,0,1.49,6.59,1.68,139.17,0,0,0,0,0.59,0,0,0,0,15.36,0,0,0,0
 96-106,0,0,0,0,0.69,8.84,676.09,0.58,0,17.13,1.4,0.57,2.44,13.87,0.83,207.73,2.03,0,0,0,0,0,0,1.19,0,0,0,0,0,0
108-118,0,0,0,1.47,4.5,0.56,609.96,0,0.45,5.83,0.76,0,2.34,8.52,0.53,215.07,0,1.22,0,0,0.7,0,0,0,0,7.83,0.68,0,3.07,0
120,0,0,0,0,4.5,6.81,877.53,0,2.35,10.35,0,0,0,0,0,400.83,0,0,0,4.22,3.39,0,0,0,0,6.92,0,0,0,0
