stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,128.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.18,12.01,0,0,0,0,0,0,0,0,0,0,19.33,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.72,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,8.62,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,48.03,10.17,0,0,4.01,0,0,0,0,5.32,0
 14-21,0,0,0.95,0.84,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0.84,0.92,0,0.94,0,0
 24-34,0,0,0,0,0,1.28,2.04,0,0,1.16,0,0.98,20.52,0,0,0.84,0,0,0,0,0,1.93,0
 36-46,0,0,0,0,0,7.89,0,0,0,0,0,0,27.74,0,0,0,0,1.49,0,0,0,1.76,1.6
 48-58,0,0,0,1.06,0,21.04,7.52,0.39,0,1.55,0.44,0.95,16.51,0,0,0,0,0,0,0.98,0,2.02,0
 60-70,0,0,0,5.52,0,27.46,1.25,0,0,0.64,1.09,0,30.06,0,0,0,0,0,0,1.71,0,1.24,0
 72-82,0,0,0,0,0,4.69,0.79,0,7.1,6.65,0,0,32.78,0,0,0,0,0,0,0,0,0.93,0
 84-94,0,0,0,0,0,13.48,0,0,0,8.35,0,0,18.22,0,3.11,0,0,0.69,0,0,0,7.35,0.58
 96-106,0,0,0,0,0,7.5,4.53,0,0,2.83,0,0.95,16.79,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.57,6.34,0,0,0,7.36,0,0,16.05,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.23,8.88,14.71,6.03,0,0,0,0,0,64.48,0,1.61,0,0,0,0,0,0,0,0
