stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,taste,vasculature,xanthophores
  3-4,9.65,48.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.79,105.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0
  7-9,0,0,0,17.8,0,0,8.29,0,0,0,0,3.81,0,0,0,0,0,0,0,128.57,0,0,65.64,0,0,0,0,0,0
 10-12,0,0,0,24.3,0,0,8.76,0,0,0,0,0,0,0,0,0,0,0,0,84.91,0,0,35,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0.95,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3.29,0,6.55,0,0,0,0.95,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,3.08,3.65,0,0,2.46,0,1.23,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,5.83,0.79,0,0,0,2.89,0,1,0,0,0,1.58,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,9.74,0,0,2.43,0,0,20.14,2.37,0,1.19,0,0,0,1.42,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.11,2.21,0,1.78,27.08,0,0,1.96,0,0,5.43,2.32,0,2.74,0.88,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.71,0,0,2.13,46.94,0,0,0.65,0,0,0,1.57,0,6.72,0,0,0,4.12,0,0,0,0,0
 96-106,0,0,2.55,0,1.48,1.07,9.94,0,0,0,189.91,0,0.86,2,0,0,15.93,6.55,0,57.84,0,0,0,1.78,0,14.32,0,0,0
108-118,0,0,0,0,5.19,0,7.82,0,0.76,3.03,441.02,0,0,3.45,2.28,1.63,7.01,0.73,0.44,46.78,0,0,0,1.79,1.18,0,0.41,0,0
120,0,0,0,0,0,0,23.66,0,0,0,514.05,0,0,0,0,9.44,39.31,5.1,0,166.04,0,7.65,0,0,0,0,0,4.29,3.14
